Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.56190696358681,7.89717584848404,8.80594030022621,9.52887013554573,10.1053476333618,10.9619833528996,11.7771938443184,..,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,51.5532569885254,52.2185096740723,55.9675483703613,60.1127586364746,60.0888137817383,61.451286315918,67.1226501464844,..,..,..
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12902.1604412039,14060.11380242,14337.6841582953,14242.2997726695,14011.1633879196,13935.2652964995,13946.7032129908,13868.626159752,13944.8519750167,..
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,388579694600,438132492800,462671175000,475276851800,482174614400,493073275700,506215118500,515529924900,530486628400,..
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GNI (constant LCU),NY.GNP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.4,0.5,0.5,0.5,0.5,..,..,..,..,..
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,0.2495,0.1476,0.1299,0.1482,0.1755,..,..,..
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,46.7472386204097,45.9116105171381,45.0502455986707,44.2696337800067,43.6236513259867,43.1187371220981,42.6990168187315,42.3311983623682,41.9915827598149,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,46.1315029255889,47.7305639800263,49.4280381705113,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479,56.937760009803,..,..
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,11.1950286035524,11.0922444503093,10.9800964617182,10.8845746972637,10.8199742991165,10.7883084842018,10.7815017467297,10.792339238057,10.8145118650418,..
Afghanistan,AFG,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,3371653,3456496,3543232,3632269,3723543,3817241,3913297,4011770,4114030,..
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,62.7000007629395,..,71.3000030517578,..,70.6999969482422,..,..
Afghanistan,AFG,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246,..
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,39.62,34.15,27.81,34.69,22.2,81.64,91.89,111.72,..,..
Afghanistan,AFG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.86606951019727,3.12844266743061,3.21333731463481,3.07221360668049,2.79024919014408,2.48932365978347,2.24112815187675,2.05646291237639,1.96358574692554,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,1.69190001487732,..,7.91450023651123,..,..,11.1836004257202,..,..,..
Afghanistan,AFG,Urban population,SP.URB.TOTL,7212518,7528588,7865067,8204877,8535606,8852859,9164841,9477100,9797273,..
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,4.02810214835549,4.28893801297526,4.37235475998294,4.2297678342528,3.95176219129098,3.64941022142383,3.46340748347353,3.35038297624495,3.32257193526388,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,..
Albania,ALB,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,437560.494218116,444496.512723585,449773.59268721,458703.514999806,470248.408114269,486613.6029298,505580.393233655,527463.912619977,541443.981849848,..
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,1271198560000,1289218130000,1302135930000,1325242160000,1354646000000,1399549870000,1452763520000,1511909900000,1545384540000,..
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,..,29,..,34.6,32.9,33.7,33.2,..,..,..
Albania,ALB,GNI (constant LCU),NY.GNP.MKTP.KN,1271503772741.83,1279793042041.58,1323985949911.45,1337211725931.98,1370153879107.74,1421432182229.25,..,..,..,..
Albania,ALB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,437665.551793195,441246.93173171,457320.85540337,462846.51778959,475631.774295281,494221.928308237,..,..,..,..
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.6,2.9,2.9,..,..,..,..,..,..,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,..,22.9,..,25.5,24.9,25,24.8,..,..,..
Albania,ALB,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,4.1761,4.4192,4.2892,..,..,3.6495,..,..,..,..
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.9245711988074,26.9370625997913,26.9777768076807,27.0449580674785,27.1560704332358,27.2514695756041,27.3479864857341,27.5063925379807,27.7309419298429,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,..,..
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,7.8,..,14.4,11.1,12.9,12,..,..,..
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,46.753,45.67,44.613,43.577,42.566,41.579,40.617,39.681,38.771,..
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,146.82,165.75,162.65,180.39,177.8,185.87,149.54,180.36,..,..
Albania,ALB,Rural population growth (annual %),SP.RUR.TOTL.ZG,-2.56111169299469,-2.50885449397691,-2.5248646488424,-2.55658540421134,-2.63858844271517,-2.50593818481915,-2.43282532196503,-2.57812110197857,-2.74606661163753,..
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.480899810791,13.3759002685547,15.8659000396729,18.0548000335693,17.193000793457,15.4175996780396,13.6157999038696,12.3037996292114,11.4654998779297,..
Albania,ALB,Urban population,SP.URB.TOTL,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,..
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,1.78778378467889,1.84837893643447,1.74363937043308,1.64611599636276,1.48476433256912,1.54401448032371,1.54128496391169,1.31716210445698,1.07141354924368,..
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,..
Algeria,DZA,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.26748076081276,6.00050985813141,6.03576265275478,6.54721409082413,6.97847604751587,6.60384446382523,6.37432187795639,..,..,..
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,286.152008056641,333.936645507813,330.2236328125,357.898590087891,290.503601074219,260.422393798828,258.494293212891,..,..,..
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,137713.95105009,139644.420675197,140708.057263957,143114.797549834,145405.318828991,147011.419335612,145908.099282066,145010.497075142,143370.874545445,..
Algeria,DZA,GDP (constant LCU),NY.GDP.MKTP.KN,5048792304441.61,5220451242702.02,5366623877510.88,5570555584898.1,5776666141571.13,5961519458091.8,6039019210989.09,6123565479992.34,6172554003832.28,..
Algeria,DZA,Gini index (World Bank estimate),SI.POV.GINI,27.6,..,..,..,..,..,..,..,..,..
Algeria,DZA,GNI (constant LCU),NY.GNP.MKTP.KN,4968110779000.54,5068103489938.31,5185395701984.17,5378852169080.89,5562078318100.99,5882494642017.2,5909479636166.07,..,..,..
Algeria,DZA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,135513.232348419,135569.195625332,135956.417297774,138189.688173191,140003.896949345,145062.662738316,142778.307426157,..,..,..
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,1.9,..,..,..,..,..
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,22.9,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,2.243,2.2228,1.5477,..,..
Algeria,DZA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,9.84666279425861,9.68408079367449,9.52268994660839,9.36407371680164,9.21012909912706,9.060914164541,8.91756334178298,8.78230990288061,8.66174655110584,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,15.3927145700202,15.6960402898721,16.0135581549623,16.3425424269652,16.680252672416,17.0259574932612,17.3777146120063,17.7300750711665,..,..
Algeria,DZA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,6.7189688436713,6.67378434992595,6.62550669725002,6.57554614494768,6.52519222891145,6.47483870102253,6.4252827513111,6.37850392208528,6.3394457452426,..
Algeria,DZA,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,2463271,2494920,2526977,2559445,2592330,2625638,2659373,2693542,2729325,..
Algeria,DZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6.3,..,..,..,..,..,..,..,..,..
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,31.764,31.085,30.424,29.779,29.152,28.541,27.948,27.371,26.811,..
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,2434.58,3062.32,3503.55,3630.37,4157.18,4527.57,5201.61,5231.44,..,..
Algeria,DZA,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.284186607638594,-0.209405059482675,-0.146629442102488,-0.109239829255659,-0.0826061897006335,-0.0668357018033298,-0.0546470557579523,-0.0787864813063178,-0.13323063442144,..
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,0.54243,..,..,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.96000003814697,10.9700002670288,9.81999969482422,10.207200050354,11.2061004638672,10.2024002075195,13.5699996948242,..,..,..
Algeria,DZA,Urban population,SP.URB.TOTL,25016303,25763106,26536378,27332602,28146511,28977628,29821745,30670086,31510100,..
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2.90854154847896,2.94157361714409,2.95730778410233,2.95636557978189,2.93432016018453,2.91006802487874,2.87137414065366,2.80499567674668,2.70203471945637,..
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,..
American Samoa,ASM,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12249.143636005,11730.4686798283,11397.6989212572,11489.3083113764,11646.2409517666,11338.15324447,10697.5907946782,10961.8678445867,..,..
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,683000000,653000000,635000000,641000000,650000000,632000000,595000000,608000000,..,..
American Samoa,ASM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GNI (constant LCU),NY.GNP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,..,..,..,..,..,..,..,..,..,..
