CountryCode,NY.GDP.PCAP.KN,NY.GDP.MKTP.KN,SI.POV.GINI,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN
AFG,13946.7032129908,506215118500,..,..,..
ALB,505580.393233655,1452763520000,33.2,..,..
DZA,145908.099282066,6039019210989.09,..,5909479636166.07,142778.307426157
ASM,10697.5907946782,595000000,..,..,..
AND,33514.110206361,2580620000,..,..,..
AGO,53212.4136542322,1586621128400,..,1496030618591.09,50174.171193689
ATG,34314.6521912267,3274510000,..,..,..
ARB,..,..,..,..,..
ARG,16468.0204553494,725330848500,41.2,705589720308.06,16019.8149177677
ARM,1723560.5989228,5075556763753.25,33.6,5245819570251.23,1781378.54450025
ABW,34589.7054078166,3644578900,..,..,..
AUS,73044.9242455652,1797041000000,..,1748333008274.83,71065.0742779134
AUT,40936.5726838537,360142200000,29.7,356955982344.074,40574.4023226508
AZE,2917.82055124029,28752300000,..,..,..
BHS,27759.278711026,10597410000,..,10264810341.312,26888.0538905546
BHR,8320.29069510613,12431130000,..,11774982981.5573,7881.12434963546
BGD,59365.8157203687,9478975000000,..,9871386252922.38,61823.4458045908
BRB,32508.4808530114,9305000000,..,..,..
BLR,8153.94265731085,77448300000,25.4,74542234228.8274,7847.98508746729
BEL,37881.8650255232,430912200000,27.4,435562727996.71,38290.6969728869
BLZ,7334.55926380303,2756100000,..,2533908328.90139,6743.26069713412
BEN,657909.779544069,7352276000000,..,7271029216898.24,650639.506616456
BMU,..,..,..,..,..
BTN,88545.9594564144,66017033900,37.4,60336717017.1621,80927.1817153661
BOL,4130.84098121891,46235900000,44,44939716795.7273,4015.03645055384
BIH,8984.87910137678,30113064900,..,30000749980.4551,8951.36753499378
BWA,41899.9713395322,92394800000,..,85238925819.0979,38654.8653044621
BRA,19389.4067669859,4029774689200,53.3,3954315178417.97,19026.3305997471
VGB,..,..,..,..,..
BRN,43294.8620995917,18377500000,..,19404323459.4058,45713.9169261786
BGR,13565.6351015631,95989715000,40.4,93645764597.1729,13234.3790304214
BFA,409961.798798997,7868513233500,..,7569555433303.49,394385.631625286
BDI,158892.969517755,1720337994400,..,1717361306782.87,158618.038233117
CPV,283419.109502007,152336921100,..,147033655707.236,273552.514167031
KHM,3071748.22377057,49176889018107.7,..,45753058377153.6,2857884.64069663
CMR,636202.823568059,15628987192900,..,15329076082655.8,623994.464011434
CAN,56757.7782462628,2074117709700,33.3,2049863014415.32,56094.0538057643
CSS,..,..,..,..,..
CYM,65758.0716922786,4167878100,..,..,..
CAF,155267.548413543,713614000000,..,742894581482.741,161638.393300202
CEB,..,..,..,..,..
TCD,340560.045756835,5114112900000,..,5056296419276.86,336709.918920454
CHI,..,..,..,..,..
CHL,7998515.66182861,147736095622350,44.4,141527527062466,7662380.25325038
CHN,56777.6698877004,78716277643958.4,..,78654295056029.8,56732.9621471729
COL,17027358.8718904,832656000000000,49.7,817308809926078,16713517.2457402
COM,486055.889479194,395597000000,..,397937265983.176,488931.290617399
COD,140808.208778207,11461614155600,..,11099608726837.8,136360.900109464
COG,314127.919686963,1605414187400,..,1420907443603.5,278025.884429086
CRI,5608332.68547546,27760988809800,48.3,26326729716869,5318580.68112734
CIV,1275388.9012606,31167276737500,..,30224625530895.8,1236814.88990925
HRV,87904.5399343586,362565000000,30.4,357188183776.218,86600.9211171447
CUB,4918.39898885809,55771000000,..,..,..
CUW,24347.241454659,3899819400,..,..,..
CYP,23119.4784524833,19871631000,31.4,19260806487.9906,22408.8199190368
CZE,463766.251234846,4913342795200,24.9,4612752443721.6,435393.783391021
,,,,,
DNK,372120.100000347,2145264934100,28.7,2190646077571.62,379991.964858789
DJI,498436.780224913,470572668900,41.6,495930651912.394,525296.290436675
DMA,15869.3218394022,1133990000,..,..,..
DOM,222303.053495671,2337101123100,42.2,2225508658929.47,211688.474054919
EAR,..,..,..,..,..
EAS,..,..,..,..,..
TEA,..,..,..,..,..
EAP,..,..,..,..,..
ECU,4227.23651877371,70955691000,44.7,69378017672.3796,4133.2454912575
EGY,35979.9533801419,3470000000000,31.5,3402296808400,35277.9482857745
SLV,3797.28032745774,24257490000,38,22877855265.8836,3581.31157574693
GNQ,4548655.14182051,5740407337632.63,..,4545632034298.14,3601924.27287945
ERI,..,..,..,..,..
EST,17121.2657812756,22555281600,30.4,22017439425.0408,16713.0004805287
SWZ,36337.6151030493,40870841600,..,38342825692.6507,34089.9963748936
ETH,16147.301479932,1718073265000,..,1707960515438.9,16052.2568626385
EMU,..,..,..,..,..
ECS,..,..,..,..,..
TEC,..,..,..,..,..
ECA,..,..,..,..,..
EUU,..,..,..,..,..
FRO,..,..,..,..,..
FJI,11817.0875220381,10369009800,..,..,..
FIN,40638.5829054572,223846011300,27.4,223891460881.758,40646.8341429288
FCS,..,..,..,..,..
