CountryCode,NYGDPPCAPKN,NYGDPMKTPKN,SIPOVGINI,NYGNPMKTPKN,NYGNPPCAPKN
AFG,13944.8519750167,530486628400,..,..,..
ALB,541443.981849848,1545384540000,..,..,..
DZA,143370.874545445,6172554003832.28,..,..,..
ASM,..,..,..,..,..
AND,34612.7919939851,2670100000,..,..,..
AGO,48430.4809711897,1541314343900,..,..,..
ATG,37892.0488477934,3680000000,..,..,..
ARB,..,..,..,..,..
ARG,15399.4275759394,692030440800,..,664349047045.31,14783.4465537265
ARM,1942464.21660524,5745286629844.02,..,5836259386470.9,1973221.83338204
ABW,..,..,..,..,..
AUS,74315.809219625,1884969000000,..,1821801875072.52,71825.4149452032
AUT,42221.862243464,374806300000,..,..,..
AZE,2976.18014314222,29831200000,..,..,..
BHS,28132.2371765576,10957000000,..,..,..
BHR,7863.31353447414,12905050000,..,..,..
BGD,67820.8853994422,11057935000000,..,11558019014094.5,70888.0168855644
BRB,32199.6568243184,9242106500,..,..,..
BLR,8541.75874228994,80863600000,..,78359021419.9729,8277.1958736853
BEL,38615.6806110734,443464600000,..,..,..
BLZ,7227.30451668106,2821200000,..,2581419533.8011,6613.03879770642
BEN,710377.148405333,8383267995280.74,..,8298867873046.87,703225.293282568
BMU,..,..,..,..,..
BTN,..,..,..,..,..
BOL,4278.33798021384,49256933000,..,48305056039.8806,4195.66025135546
BIH,9705.77155407452,32038751900,..,31985907483.121,9689.76294550771
BWA,43146.4294132431,99396300000,..,91588826657.1075,39757.3234054251
BRA,19565.3648586476,4129260999000,..,4019619441710.7,19045.8585662251
VGB,..,..,..,..,..
BRN,44078.4174124809,19098517088.5668,..,19606761158.1451,45251.4191770892
BGR,14663.1229194922,102286441000,..,..,..
BFA,437138.124491361,8883249066000,..,8647766054792.12,425550.179460867
BDI,154393.049517023,1780241408900,..,1785169751844.6,154820.464525167
CPV,305972.263994836,168264857000,..,164629327475.136,299361.42903277
KHM,3431774.18072381,56578089165018.6,..,54299858111646.8,3293586.86082544
CMR,653772.127322292,16917256000000,..,16579728979660.4,640728.300467854
CAN,57221.7364469672,2150922843400,..,2128632077738.84,56628.7275802019
CSS,..,..,..,..,..
CYM,..,..,..,..,..
CAF,160721.979185216,762655524800,..,..,..
CEB,..,..,..,..,..
TCD,338971.147571474,5405530857900,..,5332150965354.12,334369.626085643
CHI,..,..,..,..,..
CHL,8188564.34227549,155189982580250,..,148905365631857,7856957.94995015
CHN,63792.6726638795,89163975472394.3,..,..,..
COL,17520225.8070939,881958408363332,..,853428874303118,16953482.6657323
COM,493931.031889113,420279000000,..,..,..
COD,145875.296694398,12660599711400,..,12210146550835.5,140685.180116815
COG,300421.615784234,1616420907100,..,1377678239929.57,256049.845094472
CRI,5763858.16755855,29093425696100,..,27327212200161.1,5413943.92265118
CIV,1382977.26137696,35565395593200,..,..,..
HRV,94226.6748617087,383267000000,..,377323596226.023,92765.4815552606
CUB,..,..,..,..,..
CUW,..,..,..,..,..
CYP,24207.7687013265,21345660000,..,20618030017.1409,23382.5752744096
CZE,485752.74851451,5182840472600,..,..,..
,,,,,
DNK,386441.89601779,2248532653400,..,..,..
DJI,563134.965692921,548245677200,..,570161553918.735,585646.03508642
DMA,17064.2546791444,1225350000,..,..,..
DOM,244668.430587027,2627484000000,..,2508518777041.11,233590.519400589
EAR,..,..,..,..,..
EAS,..,..,..,..,..
TEA,..,..,..,..,..
EAP,..,..,..,..,..
ECU,4138.97340698812,71909125000,..,69813935809.6635,4018.37769202966
EGY,38425.8795365063,3857500000000,..,..,..
SLV,3941.87976762568,25439130000,..,24196779075.2253,3749.37326387888
GNQ,3743233.02885199,5075771581860.9,..,4101655240400.41,3024850.72884264
ERI,..,..,..,..,..
EST,18584.022116856,24653377900,..,..,..
SWZ,37168.4180276377,42674175790.0717,..,..,..
ETH,17730.0147226865,1987157533000,..,1975467592208.39,17625.713569456
EMU,..,..,..,..,..
ECS,..,..,..,..,..
TEC,..,..,..,..,..
ECA,..,..,..,..,..
EUU,..,..,..,..,..
FRO,..,..,..,..,..
FJI,12190.2842060199,10848780000,..,..,..
FIN,41614.1875625191,229723382200,..,229204851399.867,41520.2561665636
FCS,..,..,..,..,..
FRA,35030.0893185221,2349113831300,..,..,..
PYF,..,..,..,..,..
GAB,2632191.83422099,5718644703000,..,..,..
GMB,26080.8459682107,61230158564.6441,..,60145907623.8636,25619.0117603582
GEO,10850.4180484692,40367700000,..,..,..
DEU,38981.7245296889,3240659870000,..,..,..
GHA,5409.97633429522,164559881100,..,..,..
GIB,..,..,..,..,..
GRC,17401.6085649535,186481240700,..,..,..
GRL,..,..,..,..,..
GRD,22721.8020945867,2544910000,..,..,..
GUM,..,..,..,..,..
GTM,30911.9244934933,513262398000,..,504474271657.827,30382.6476577323
GIN,5272744.17860246,67339513000000,..,63138829101025.4,4943826.86709076
GNB,272886.145298976,524193000000,..,526168875185.342,273914.753012013
GUY,628747.671717985,492162300000,..,..,..
HTI,1431.65425398406,16124832100,..,15981236479.6264,1418.90501855101
HPC,..,..,..,..,..
HIC,..,..,..,..,..
HND,22615.3451677217,220411800000,..,204844873554.214,21018.1012144851
HKG,360041.958600847,2702979000000,..,2842517146388.65,378628.705862035
HUN,4186016.04650137,40897163287500,..,..,..
IBD,..,..,..,..,..
IBT,..,..,..,..,..
IDB,..,..,..,..,..
IDX,..,..,..,..,..
IDA,..,..,..,..,..
ISL,7488349.56948684,2705638048000,..,..,..
IND,107462.265967923,146838348103640,..,145259775979761,106307.002784861
IDN,40459014.2051914,1.09492437E+16,..,1.0631914975926E+16,39286439.3948395
IRN,..,..,..,..,..
IRQ,5355932.77373981,210540555098300,..,..,..
IRL,68090.0681663093,336463258800,..,..,..
IMN,..,..,..,..,..
ISR,148401.338672086,1343521839400,..,..,..
ITA,28583.5710052885,1723514900000,..,1738335613728.82,28829.3646002361
JAM,304828.445340485,898719304000,..,..,..
JPN,4363986.15655284,551018410942100,..,..,..
JOR,2925.17235228072,29549196000,..,..,..
KAZ,798586.086384684,14784966902300,..,12434483155462.8,671628.506506335
KEN,96041.9997172365,5049309500000,..,4949558785023.56,94144.6594691171
KIR,1675.08460452698,197000000,..,..,..
PRK,..,..,..,..,..
KOR,35670510.0522156,1.8444899E+15,..,1.86111837607403E+15,35992087.428677
XKX,3177.51904032855,5701257183.07142,..,5837483264.13965,3253.4428151179
KWT,9371.05353043902,39424800000,..,..,..
KGZ,51312.6090281954,331320385234.155,..,305842996512.682,47366.8473280803
LAO,18055793.4027479,129450198290298,..,..,..
,,,,,
LTE,..,..,..,..,..
LCN,..,..,..,..,..
LAC,..,..,..,..,..
TLA,..,..,..,..,..
LVA,14375.6007588919,27497491000,..,..,..
LDC,..,..,..,..,..
LBN,8831293.71929659,60544815158200,..,60260950127636.2,8789888.10173883
LSO,11250.9645579848,23911314944.2192,..,27452976419.5021,12917.418612383
LBR,284.216751657865,1403284400,..,..,..
LBY,5170.81541853782,35044953300,..,..,..
LIE,..,..,..,..,..
LTU,15422.9329664667,42981308200,..,..,..
LMY,..,..,..,..,..
