CountryCode,GBXPDRSDVGDZS,IPJRNARTCSC
AFG,..,91.89
ALB,..,149.54
DZA,0.54243,5201.61
ASM,..,..
AND,..,2.01
AGO,..,55.5
ATG,..,5.2
ARB,..,50420.03
ARG,0.54152,8704.3
ARM,0.22788,511.24
ABW,..,..
AUS,1.87372,53428.79
AUT,3.05212,12850.61
AZE,0.18468,736.71
BHS,..,20.4
BHR,..,259.34
BGD,..,2990.72
BRB,..,48.84
BLR,0.58411,1064.9
BEL,2.70234,16278.27
BLZ,..,11.38
BEN,..,209.42
BMU,..,..
BTN,..,44.3
BOL,..,88.05
BIH,0.20048,724.8
BWA,..,234.51
BRA,1.26326,58022.38
VGB,..,..
BRN,..,214.24
BGR,0.75239,2808.03
BFA,0.70072,216.88
BDI,..,13.19
CPV,..,14.98
KHM,..,120.26
CMR,..,800.58
CAN,1.67165,60214.84
CSS,..,595.93
CYM,..,..
CAF,..,18.96
CEB,1.08911442527987,90981.03
TCD,..,16.35
CHI,..,..
CHL,0.35518,6791.32
CHN,2.14512,473438.51
COL,0.24294,6681.57
COM,..,3.84
COD,..,135.94
COG,..,74.33
CRI,0.42336,496.72
CIV,..,197.66
HRV,0.8645,4227.47
CUB,0.43066,1117.6
CUW,..,..
CYP,0.56092,1193.38
CZE,1.79079,16782.25
,,
DNK,3.046,14345.19
DJI,..,5.13
DMA,..,12.5
DOM,..,54.06
EAR,0.716387065337403,322559.048343846
EAS,2.36257161455444,796300.107273587
TEA,1.93297961166316,527371.024610408
EAP,1.93297961166316,527438.20224242
ECU,..,1604.01
EGY,0.67941,11392.95
SLV,0.18115,31.65
GNQ,..,3.33
ERI,..,13.65
EST,1.28867,1559
SWZ,..,33.12
ETH,0.27441,1657.99
EMU,2.1944376987026,425460.43
ECS,1.96892018609933,796657.293343855
TEC,0.906635611946318,178816.3
ECA,0.913293832801678,128873.6
EUU,2.16645829048118,536753
FRO,..,..
FJI,..,135.47
FIN,2.7569,10768.81
FCS,..,13020.3614386841
FRA,2.20557,70100.94
PYF,..,..
GAB,..,62.92
GMB,..,47.17
GEO,0.29104,547.49
DEU,3.03763,107803.17
GHA,..,1074.54
GIB,..,..
GRC,1.13109,10986.92
GRL,..,24.29
GRD,..,53.06
GUM,..,..
GTM,0.028,103.77
GIN,..,38.02
GNB,..,16.33
GUY,..,15.74
HTI,..,41.52
HPC,..,7966.94695383509
HIC,2.5545624844437,1475027.14195224
HND,0.04,43.62
HKG,0.79925,..
HUN,1.3486,6645.69
IBD,1.37823731415169,1023350.76881906
IBT,1.35282537858335,1054254.78463653
IDB,..,18948.27
IDX,..,11956.4456007819
IDA,..,30904.3343279004
ISL,2.10444,629.31
IND,0.66584,121631.31
IDN,0.2381,14579.71
IRN,0.83027,46727.38
IRQ,0.04455,2259.36
IRL,..,7108.63
IMN,..,..
ISR,4.81602,12270.41
ITA,1.37744,71485.25
JAM,..,166.37
JPN,3.21254,101084.19
JOR,..,1962.14
KAZ,0.12972,1958.82
KEN,..,1179.58
KIR,..,2.54
PRK,..,58.71
KOR,4.55324,63979.21
XKX,..,261.45
KWT,0.08118,861.13
KGZ,0.10707,107.1
LAO,..,76.98
,,
LTE,1.72797099384019,748631.422013214
LCN,0.713357337838224,104412.472353691
LAC,0.747843327637089,95671.01
TLA,0.718806387316303,102555.75
LVA,0.51012,1602.91
LDC,..,9931.4510307927
LBN,..,1537.56
LSO,..,21.03
LBR,..,24.52
LBY,..,172.36
LIE,..,33.89
LTU,0.89808,2404.65
LMY,1.38055282715479,997634.204245922
LIC,..,4724.98
LMC,0.584132191005412,190835.85924584
LUX,1.30327,814.16
MAC,0.1715,..
MDG,0.01465,138.99
MWI,..,228.59
MYS,..,22257.81
MDV,..,7.06
MLI,0.29175,100.89
MLT,0.58275,395.95
MHL,..,0.72
MRT,..,16.07
MUS,0.36636,168.32
MEX,0.32829,16004.9
FSM,..,6.58
MEA,..,109457.45
TMN,0.602901759893146,80233.57
MNA,0.602901759893146,80558.53
MIC,1.38604849995825,992910.171543551
MDA,0.25374,257.06
MCO,..,51.35
MNG,0.13475,146.56
MNE,0.34898,284.38
MAR,..,4707.82
MOZ,..,133.25
MMR,0.03186,141.03
NAM,..,115.28
NRU,..,0
NPL,..,674.78
NLD,1.98308,31048.39
NCL,..,..
NZL,1.3657,7970.15
NIC,..,41.43
NER,..,58.63
NGA,..,4432.57
NAC,2.72796879064586,492524.729971515
MKD,0.35525,498.61
MNP,..,..
NOR,2.09343,11670.76
INX,..,..
OED,2.50828122582418,1445416.25
OMN,0.2276,785.83
OSS,..,6740.19062288331
PSS,..,186.700009344448
PAK,0.23597,11487.23
PLW,..,5.96
PAN,0.14699,176.81
PNG,..,57.68
PRY,0.14883,135.43
PER,0.12101,1378.89
PHL,..,1855.39
POL,1.03445,34675.67
PRT,1.32833,14391.44
PST,2.58573924612248,1359236.88009237
PRE,..,12823.98
PRI,..,576.23
QAT,..,1385.2
ROU,0.5039,11039.56
RUS,1.10656,70825.09
RWA,..,127.1
WSM,..,10.22
SMR,..,11.61
STP,..,0.88
SAU,..,10041.39
SEN,..,368.29
SRB,0.87353,4916.94
SYC,..,11.71
SLE,..,42.8
SGP,1.94431,11840.57
SXM,..,..
SVK,0.88267,5787.12
SVN,1.86581,3448.68
SST,..,7523.46605456801
SLB,..,10.5
SOM,..,12.23
ZAF,0.83215,12846.08
SAS,0.621568754650504,138108.56
TSA,0.621568754650504,138108.56
SSD,..,6.4
ESP,1.2058,55432.15
LKA,..,1181.27
KNA,..,28.32
LCA,..,2.43
MAF,..,..
VCT,..,3.71
SSF,..,27169.6946165452
TSS,..,27169.6946165452
SSA,..,26989.6627096248
SDN,..,324.18
SUR,..,15.91
SWE,3.39676,20768.71
CHE,3.37286,22420.65
SYR,..,263.85
TJK,0.11536,60.76
TZA,..,610.37
THA,1.00403,11151.54
