CountryCode,EN.URB.MCTY.TL.ZS,EN.URB.MCTY,EN.URB.LCTY.UR.ZS,EN.POP.DNST,EN.POP.SLUM.UR.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZG,SP.URB.TOTL,SP.URB.GROW,SP.URB.TOTL.IN.ZS
AFG,10.8145118650418,4114030,41.9915827598149,..,..,74.246,1.96358574692554,9797273,3.32257193526388,25.754
ALB,..,..,27.7309419298429,..,..,38.771,-2.74606661163753,1747593,1.07141354924368,61.229
DZA,6.3394457452426,2729325,8.66174655110584,..,..,26.811,-0.13323063442144,31510100,2.70203471945637,73.189
ASM,..,..,..,..,..,12.853,-0.238848023629824,48203,-0.281742847595643,87.147
AND,..,..,..,..,..,12.016,0.82331740120781,67873,0.0884394910466288,87.984
AGO,25.2778018239894,8044735,38.1972624789154,..,..,33.823,1.30174248944402,21061025,4.24989375167502,66.177
ATG,..,..,..,..,..,75.494,0.982744907203783,23800,0.484364430171381,24.506
ARB,23.6186765487752,..,28.9617821906143,..,..,40.7983531267269,1.23924570218831,253306246,2.40249077466459,59.2016468732731
ARG,42.9040289361208,19280518,36.4233895896017,..,..,8.009,-0.506115918707072,41339571,1.12501972603644,91.991
ARM,36.6268264422965,1083323,57.9364205004899,..,..,36.781,0.0113989342119917,1869848,0.312330774687418,63.219
ABW,..,..,..,..,..,56.454,0.203475836573019,46295,0.752364161685261,43.546
AUS,60.8993141425074,15446689,22.2954561726393,..,..,13.876,0.712080018000703,21844756,1.64611338329492,86.124
AUT,21.5762481008648,1915338,36.8730190265855,..,..,41.485,-0.111569277673471,5194416,0.785785110896997,58.515
AZE,23.0775677275728,2313138,41.187144608465,..,..,43.969,0.0418952262364991,5616165,1.46543234640437,56.031
BHS,..,..,..,..,..,16.868,0.359866201113933,323784,1.1199535660538,83.132
BHR,..,..,40.9262706451941,..,..,10.606,3.4656022127044,1467109,4.58898523928097,89.394
BGD,15.4546325074161,25198185,33.2585851274862,..,..,62.595,-0.185359486879007,60987417,3.13022325837582,37.405
BRB,..,..,..,..,..,68.842,0.117988138917267,89431,0.168987959257271,31.158
BLR,21.3025000063379,2016677,26.9501784181761,..,..,20.956,-2.29562150603022,7482982,0.394014169403689,79.044
BEL,27.0165459848459,3102595,18.3432716805864,..,..,1.959,-1.52362894515721,11259082,0.538391035625715,98.041
BLZ,..,..,..,..,..,54.134,1.62110269548285,179039,2.19323630081718,45.866
BEN,..,..,17.5455711242745,..,..,52.139,1.66765525730016,5648149,3.86880716369073,47.861
BMU,..,..,..,..,..,0,..,63918,-0.00312896009037334,100
BTN,..,..,..,..,..,58.388,-0.0742619551560469,317538,2.88464798707538,41.612
BOL,41.5432507317751,4782916,22.847591227973,..,..,30.227,0.254399034213555,8033035,1.8991012068987,69.773
BIH,..,..,21.3527882856616,..,..,51.374,-1.43104848220828,1605144,0.0943662665149465,48.626
BWA,..,..,..,..,..,29.828,-0.229527099262265,1616550,3.21528663402126,70.172
BRA,42.1045596562744,88861474,11.9222393342352,..,..,13.176,-1.16529750939347,183241641,1.04567791983391,86.824
VGB,..,..,..,..,..,51.884,0.00641827926153038,14449,1.5835146550148,48.116
BRN,..,..,..,..,..,22.058,-0.406188396852031,337711,1.40510131779945,77.942
BGR,18.3053433166647,1276937,24.2947191861838,..,..,24.653,-2.06963013685506,5256027,-0.252969936337171,75.347
BFA,13.0538391638599,2652720,43.5418259853465,..,..,70.02,1.95983067504172,6092349,4.94075550766313,29.98
BDI,..,..,61.9282535360961,..,..,86.634,2.7441789919999,1541177,5.65959386642583,13.366
CPV,..,..,..,..,..,33.805,-0.232105927264574,364029,1.82967937813072,66.195
KHM,12.216115423113,2014015,51.3174393145223,..,..,76.195,0.900610040354835,3924621,3.21363596690851,23.805
CMR,28.4373007352651,7358544,25.9301174879535,..,..,43.032,1.21331667942851,14741256,3.63241391002886,56.968
CAN,45.7876613805294,17211244,20.0447544217177,..,..,18.518,1.04137943539227,30628482,1.51122380323366,81.482
CSS,..,..,..,..,..,48.6299609466125,0.224630996181531,3802091,0.911660087129107,51.3700390533875
CYM,..,..,..,..,..,0,..,64948,1.19888054809678,100
CAF,..,..,43.8734067113877,..,..,58.23,0.979914731078192,1982064,2.65151015111068,41.77
CEB,..,..,16.9775683526788,..,..,37.5616437014329,-0.431732643146603,63923503,0.0129796966784426,62.4383562985671
TCD,8.60058107932864,1371524,36.9456664420963,..,..,76.721,2.69960000408195,3712273,3.93547101211201,23.279
CHI,..,..,..,..,..,69.069,1.00267344509658,53281,1.08125481417656,30.931
CHL,35.4764801547992,6723516,40.4783946668706,..,..,12.357,0.545701785003905,16610135,1.27315944447651,87.643
CHN,28.5448833274308,398976116,3.12208372024284,..,..,39.692,-2.5135292752365,842933962,2.29272726307481,60.308
COL,43.9304463499924,22114342,26.4023716286714,..,..,18.896,-0.328816832244915,40827302,1.7844648552516,81.104
COM,..,..,..,..,..,70.836,1.92539453630097,248152,2.8904337060558,29.164
COD,24.3594710010363,21141723,35.1529333970642,..,..,54.954,2.12638432891885,39095679,4.49651561246781,45.046
COG,64.7446114753477,3483589,63.6708864251409,..,..,32.627,1.17192276872432,3625010,3.24353303191283,67.373
CRI,27.3111310591393,1378546,34.1065121842903,..,..,19.924,-2.66959054977993,4041885,1.88129554144115,80.076
CIV,19.6704113896486,5058550,38.3895301626331,..,..,48.761,1.61038288280312,13176900,3.45114252538016,51.239
HRV,..,..,29.4303870863001,..,..,42.758,-1.18642616132771,2328318,0.0177826573170661,57.242
CUB,18.8681537705576,2138419,24.4694583617257,..,..,22.891,-0.355103611461465,8739135,0.0523529779214704,77.109
CUW,..,..,..,..,..,10.902,-0.990709415385093,140363,-1.47872164804435,89.098
CYP,..,..,..,..,..,33.195,0.794872615476084,800708,0.772293677891933,66.805
CZE,12.1728155847549,1298804,16.4673299222178,..,..,26.079,-0.11992577461695,7887156,0.548211578531677,73.921
,,,,,,,,,,
DNK,22.924737473389,1333888,26.0526119448169,..,..,12.006,-0.565409957152044,5119978,0.565622493351353,87.994
DJI,..,..,74.9857952485601,..,..,22.085,0.892295788346156,758549,1.69244544694325,77.915
DMA,..,..,..,..,..,29.214,-0.778731380705909,50830,0.685008551469418,70.786
DOM,30.2172799260412,3245021,36.9277978031232,..,..,18.172,-3.01901912504798,8787475,1.9721792780055,81.828
EAR,18.9590319738071,..,17.5481141024384,..,..,54.459203808892,0.535487988716966,1498424545,2.21752275960803,45.540796191108
EAS,..,..,11.5853315094411,..,..,40.1134672629216,-1.5127732363754,1401721126,1.95750290864363,59.8865327370784
TEA,..,..,7.45596712618835,..,..,43.4993977463626,-1.55997354929055,1168423500,2.29153458598471,56.5006022536374
EAP,..,..,7.61419490150236,..,..,43.4299963839384,-1.54524930042764,1184392043,2.27160878625922,56.5700036160616
ECU,27.5929507549991,4793906,26.5020652241477,..,..,36.014,1.22210244180587,11116711,1.93741624885834,63.986
EGY,25.5681917512253,25667415,47.7551497786824,..,..,57.27,1.93089493935691,42895824,2.03715101744526,42.73
SLV,17.1326089674943,1105662,23.5512711988961,..,..,27.254,-2.10860530826869,4694702,1.50854111204229,72.746
GNQ,..,..,40.1500997144633,..,..,27.373,1.775764743096,984812,4.1971901831636,72.627
ERI,..,..,..,..,..,..,..,..,..,..
EST,..,..,48.1778861689213,..,..,30.949,-0.202685098555857,916024,0.5963002490004,69.051
SWZ,..,..,..,..,..,76.019,0.806176738492247,275333,1.80715336072229,23.981
ETH,4.09710477625862,4591983,19.3032030740633,..,..,78.775,1.9947962549253,23788710,4.78027987137827,21.225
EMU,19.5382384676985,..,15.7047998881049,..,..,22.7823142790352,-0.763578879761027,264546016,0.514878739995368,77.2176857209648
ECS,20.608857747612,..,16.8460625484199,..,..,27.590851241082,-0.366935565335126,665690502,0.628006627702689,72.409148758918
TEC,20.9027799110118,..,17.3425753844153,..,..,33.4979122177527,-0.112361688187036,305248079,0.661204662443964,66.5020877822473
ECA,23.2066899624984,..,18.0480535581212,..,..,32.1812419709413,-0.0692083273742981,269654394,0.770174284305568,67.8187580290587
EUU,17.4720970223317,..,15.8800667120736,..,..,25.2704786784899,-0.678934632123202,334423609,0.452790527499602,74.7295213215101
FRO,..,..,..,..,..,57.775,0.0960495262472702,20554,0.752066835271066,42.225
FJI,..,..,..,..,..,43.25,-0.424139201591551,505048,1.61801551779692,56.75
FIN,23.4086684199486,1292232,27.3958593038461,..,..,14.554,-0.351994697730082,4716888,0.161720287217457,85.446
FCS,17.846318810172,..,25.265282750787,..,..,55.0499314301963,1.45424011166074,357957325,3.28650858316983,44.9500685698037
FRA,22.8524348691491,15324817,20.2466849621542,..,..,19.291,-1.2241140298587,54123364,0.469114617997402,80.709
PYF,..,..,..,..,..,38.103,0.412437730355214,172870,0.67910990312655,61.897
GAB,..,..,42.2563745900639,..,..,10.259,-1.06836906629506,1949694,2.89835543557798,89.741
GMB,..,..,30.4979923766711,..,..,38.069,1.20035299262843,1453958,3.99495279170776,61.931
GEO,28.9579403405349,1077346,49.0488400510636,65.0477623429791,..,40.961,-1.15434138689578,2196476,0.526131290953462,59.039
DEU,9.59556287765554,7977060,5.52942265611719,..,..,22.624,-0.00903831576598271,64324835,0.356199259518144,77.376
GHA,18.6758527622723,5680794,18.5841264106426,..,..,43.293,0.679166031547571,17249054,3.31009008201653,56.707
GIB,..,..,..,..,..,0,..,33701,-0.0504308885041264,100
GRC,29.4331581301868,3154152,37.0750706966604,..,..,20.612,-1.74274604899724,8507474,0.262136614075548,79.388
GRL,..,..,..,..,..,12.948,-1.44554542217769,48945,0.631266058920437,87.052
GRD,..,..,..,..,..,63.604,0.296629746900965,40765,0.832599154032947,36.396
GUM,..,..,..,..,..,5.14100000000001,-0.602760605525927,158693,0.99934968897591,94.859
GTM,17.4128250582118,2891230,33.8514063724799,..,..,48.561,0.770696070143371,8540945,2.3116594096001,51.439
GIN,14.7928635937324,1889233,40.5283915816887,..,..,63.5,2.26925064247266,4661505,3.82576684632788,36.5
GNB,..,..,68.8326622445364,..,..,56.223,1.71753593667991,840922,3.41368711824618,43.777
GUY,..,..,..,..,..,73.311,0.368716788947566,208912,0.792941724083628,26.689
HTI,24.0093093565817,2704187,42.7272747382345,..,..,43.808,-0.815010734197561,6328948,2.88983939801119,56.192
HPC,14.2706435411711,..,32.0793651779585,..,..,63.5187185860037,1.99299428340751,292473363,4.10140956001723,36.4812814139963
HIC,..,..,19.3974138593254,..,..,18.952559898009,-0.55014640347531,1001596280,0.666561549990035,81.047440101991
HND,14.3971388810539,1403162,24.9387489373818,..,..,42.27,0.151923104742271,5626433,2.74492540014081,57.73
HKG,99.7785651490529,7490776,99.7785651490529,..,..,0,..,7507400,0.754094920172569,100
HUN,18.054475002889,1763913,25.2002619584998,..,..,28.356,-1.08542346079965,6999582,0.352340995276881,71.644
IBD,23.7510905631518,..,12.4992835312109,..,..,44.3837275487187,-0.531202687329525,2678610910,1.9179185154432,55.6162724512813
IBT,21.5390096469962,..,15.232040773892,..,..,49.0512297439418,0.116214960644911,3304099384,2.24406337007093,50.9487702560582
IDB,..,..,18.7592819611857,..,..,57.2928135402365,1.42091309870142,239831686,3.42819781045645,42.7071864597635
IDX,13.3071966528068,..,32.1664415714773,..,..,65.1724474627507,1.49080107728558,385656788,3.81231212916673,34.8275525372493
IDA,14.8764099546847,..,27.0150966448319,..,..,62.5210177555368,1.46924064018216,625488474,3.66469401300202,37.4789822444632
ISL,..,..,..,..,..,6.145,1.72629553865762,339110,2.45143677355771,93.855
IND,15.6745207951975,214179435,6.24143804658443,..,..,65.528,0.342849974689292,471031528,2.30559711269868,34.472
IDN,13.4993763782142,36532764,7.02178627161911,..,..,44.015,-0.387773166902514,151509724,2.28647588218374,55.985
IRN,25.9914350193561,21550514,14.4196406367704,..,..,24.609,-0.631306373119406,62509623,2.00829866328703,75.391
IRQ,25.1265213038698,9877181,25.1029284858481,..,..,29.322,1.55743742539777,27783368,2.54460168641088,70.678
IRL,24.581195294331,1214666,38.7685386114749,..,..,36.595,0.871385951095929,3133123,1.8828138944878,63.405
IMN,..,..,..,..,..,47.265,0.290574087870651,44605,0.880447935282955,52.735
ISR,57.8552240619443,5237807,48.9225069805059,..,..,7.499,0.800506492655541,8374393,1.99102086408586,92.501
ITA,18.8252192515909,11351117,9.92690231442086,..,..,29.264,-1.21920627115391,42651966,0.216136702236061,70.736
JAM,..,..,35.7355594410255,..,..,44.015,-0.247749963270032,1650594,1.01342148999657,55.985
JPN,64.7182977512576,81716514,32.3323629729751,..,..,8.30200000000001,-1.19186559429896,115782416,-0.11953563624417,91.698
JOR,20.8728258844507,2108509,22.8861176019055,..,..,8.797,-1.06180948320557,9213048,1.6985753454984,91.203
KAZ,16.0983108394598,2980430,17.4863781415697,..,..,42.46,1.02732159678973,10652915,1.48557187518294,57.54
KEN,11.051460767479,5810192,31.5069235792108,..,..,72.493,1.61606282093411,14461523,4.02121623446354,27.507
KIR,..,..,..,..,..,45.165,-0.201239476984638,64489,2.93620438547036,54.835
PRK,11.9256791072105,3060864,19.1934841841422,..,..,37.866,-0.164371605168362,15947412,0.833251731729597,62.134
KOR,50.2114231425967,25963874,23.6598653055822,..,..,18.57,0.354634106945366,42106719,0.162747739688632,81.43
XKX,..,..,..,..,..,..,..,..,..,..
KWT,72.5560441759766,3052493,72.5560441759766,..,..,0,..,4207083,1.67232318324502,100
KGZ,..,..,43.0520213794376,..,..,63.409,1.72094328651505,2362644,2.75676671410675,36.591
LAO,..,..,26.3372062082869,..,..,64.355,0.526012773541772,2555552,3.331757148754,35.645
,,,,,,,,,,
LTE,28.4004984918449,..,10.325027034418,..,..,36.7068497577963,-1.78492035484304,1454774594,1.817605903802,63.2931502422037
LCN,38.1819021981796,..,23.1725820208969,..,..,19.1294409713812,-0.347266474908892,522741501,1.24070325060394,80.8705590286188
LAC,37.9613122768411,..,21.7288957533462,..,..,19.3008822356703,-0.380326775146571,495309499,1.24945937188244,80.6991177643297
TLA,38.3352806239088,..,22.8048798729244,..,..,19.1056496327386,-0.348997900567255,510155990,1.27003218409789,80.8943503672615
LVA,..,..,48.5707038544979,..,..,31.778,-1.00065902639905,1304943,-0.631896739968549,68.222
LDC,13.0005125367406,..,33.2284185529943,..,..,65.8986491891132,1.52829633332436,352399564,3.97594196721374,34.1013508108868
LBN,35.1075810787295,2406875,39.5542707190837,..,..,11.242,-1.35803156174649,6084994,0.285139366815395,88.758
LSO,..,..,..,..,..,71.415,0.206437899583031,607508,2.3324759968299,28.585
LBR,29.7126772247758,1467026,57.5659642461661,..,..,48.385,1.4727747088506,2548426,3.33023619382136,51.615
LBY,17.1291216817176,1160918,21.3067327240389,..,..,19.607,-0.00346156682589269,5448597,1.83240152888494,80.393
LIE,..,..,..,..,..,85.629,0.249119752390265,5464,0.513762597959161,14.371
LTU,..,..,28.4272503679245,..,..,32.145,-1.07211413981553,1891013,-0.266327493945688,67.855
LMY,21.5619375454364,..,15.0938113896887,..,..,49.1501713403779,0.118528252107495,3272637457,2.26622699471291,50.8498286596221
LIC,12.3796416662598,..,31.5089549390024,..,..,66.6817338257066,1.98138717700584,222717604,3.95200491021681,33.3182661742934
LMC,16.4283078035282,..,17.2504424366984,..,..,60.3141491577427,0.632321309631195,1156193048,2.65695765856005,39.6858508422573
LUX,..,..,..,..,..,8.777,-0.774452556707725,565488,2.21159069261405,91.223
MAC,..,..,100,..,..,0,..,640445,1.38499683787543,100
MDG,11.9038505512952,3210386,31.4409311116049,..,..,62.139,1.58378395984141,10210849,4.44171609359296,37.861
MWI,5.76901387946275,1074695,33.5915564056023,..,..,82.826,2.35464009561543,3199301,4.02998683326404,17.174
MYS,24.3516597940574,7780301,31.7877732611106,..,..,23.393,-1.0845295578938,24475766,2.07521595937832,76.607
MDV,..,..,..,..,..,59.762,2.19853498309272,213645,3.99018877853483,40.238
MLI,12.866639593762,2529328,29.8280785802497,..,..,56.864,1.63426429279913,8479688,4.82142121667301,43.136
MLT,..,..,..,..,..,5.322,2.41768770391555,475902,3.72124013043989,94.678
MHL,..,..,..,..,..,22.583,-1.04893446945697,45514,1.14463740064475,77.417
MRT,27.8183289376927,1258973,51.0362527317548,..,..,45.493,0.922461525506334,2466821,4.2850596243352,54.507
MUS,..,..,..,..,..,59.234,0.0777914734145011,515980,-0.0339102930676604,40.766
MEX,40.7680543499843,52010061,21.11718921457,..,..,19.556,-0.37059476537146,102626859,1.45001802915239,80.444
FSM,..,..,..,..,..,77.188,0.897564324174799,25963,1.51353401514872,22.812
MEA,26.0349588887367,..,25.8057922081404,..,..,34.3213851749204,0.835423592221289,299959097,2.21348925115063,65.6786148250796
TMN,21.9246339912676,..,23.8812859472377,..,..,38.2736095340958,0.881359707055736,237505732,2.21974964951738,61.7263904659042
MNA,21.9246339912676,..,23.8141016042413,..,..,38.0965996259187,0.884875902616614,241087180,2.23001209316868,61.9034003740813
MIC,22.5734519315951,..,13.9002022178536,..,..,47.1182340543037,-0.180547902364424,3049919853,2.1452641908437,52.8817659456963
MDA,..,..,44.4157738163385,94.018880412443,..,57.274,-1.97442066133349,1135502,-1.57797027448494,42.726
MCO,..,..,..,..,..,0,..,38964,0.726376735217118,100
MNG,48.1418171524141,1552654,70.2359422172724,..,..,31.457,1.40773578892332,2210626,1.86181534605175,68.543
MNE,..,..,..,..,..,32.85,-1.03488644794619,417765,0.488546780077044,67.15
MAR,21.7739315030209,7941338,16.1744887688049,..,..,37.006,-0.23028655593284,22975026,2.0835692308648,62.994
MOZ,9.13209086625597,2773054,15.0443928321637,..,..,63.472,2.05996635216516,11092106,4.39649295457562,36.528
MMR,12.304113836103,6649810,31.4499205444038,..,..,69.148,0.231519958314784,16674093,1.51435704030921,30.852
NAM,..,..,32.7804733997352,..,..,48.958,-0.169515416422525,1273258,3.87107816004467,51.042
NRU,..,..,..,..,..,0,..,12581,-0.972916513578607,100
NPL,4.81010153900683,1376108,23.8679194722135,..,..,79.847,1.32143354624637,5765513,3.9079393131151,20.153
NLD,12.3984572646737,2149006,7.16080631576211,..,..,8.124,-4.05617273356722,15924729,1.00673801972736,91.876
NCL,..,..,..,..,..,28.896,-0.138187127330443,204637,1.90179354672582,71.104
NZL,32.1746593451291,1582028,37.1467481908304,..,..,13.385,0.984101358422394,4258860,1.64666697805072,86.615
NIC,16.1251497593309,1055472,27.4423921976778,..,..,41.24,0.654140032242362,3846137,1.63542151795135,58.76
NER,5.36882287823432,1251511,32.5048289310434,..,..,83.483,3.68352459442568,3850231,4.35223802394067,16.517
NGA,16.6631316151937,33486829,13.5240081244314,..,..,48.843,0.914026454660034,102806948,4.16683058219486,51.157
NAC,46.414726768972,..,8.27906700723163,..,..,17.6383059124822,-0.491585232278396,301355428,0.803584273396112,82.3616940875178
MKD,..,..,48.6296320728268,..,..,41.792,-0.560490538117947,1212740,0.445852847071789,58.208
MNP,..,..,..,..,..,8.292,-0.504626806762427,52472,0.684606731774048,91.708
NOR,19.1992888418174,1026758,23.2391882881288,..,..,17.384,-1.41972396099068,4418218,1.12148861779611,82.616
INX,..,..,..,..,..,..,..,..,..,..
OED,37.421319509352,..,18.0038700514671,..,..,19.1954271466344,-0.523804489272081,1098912701,0.798433703087326,80.8045728533655
OMN,30.1837030295161,1501635,35.3261297875659,..,..,14.557,-3.05647239423707,4250777,4.03194969984661,85.443
OSS,..,..,..,..,..,37.4034971261055,0.664840493634841,19630518,2.73566930182201,62.5965028738945
PSS,..,..,..,..,..,60.9616093280817,1.05233559873648,973497,2.15089417722369,39.0383906719183
PAK,20.2089149842543,43765501,19.6945411783205,..,..,63.093,1.64796673664534,79927762,2.68434882280713,36.907
PLW,..,..,..,..,..,19.53,-2.16574348695219,14491,1.23595518617074,80.47
PAN,42.8993092800815,1821693,63.0325277742792,..,..,31.941,0.561975136994822,2890084,2.16737410889427,68.059
PNG,..,..,32.2072626015407,..,..,86.75,1.86035999214582,1162834,2.56681629731643,13.25
PRY,46.5483241433624,3279160,75.2247571200808,..,..,38.121,0.496896962614933,4359150,1.74142083128675,61.879
PER,32.4655949887871,10554712,41.569795503715,..,..,21.901,0.743305624947381,25390339,1.86230161084329,78.099
PHL,14.3214167406185,15483831,26.873264020453,..,..,52.851,0.907148327142197,50975903,1.87858335407114,47.149
POL,4.67709276325849,1775933,7.7903504272177,..,..,39.963,0.0423502935833011,22796574,-0.0451764083685673,60.037
PRT,41.403538292388,4251902,43.563523873786,..,..,34.236,-1.74251819658447,6753579,0.704264992189761,65.764
PST,37.1193971969826,..,17.4721372631484,..,..,18.5342731967197,-0.68297575794432,906643853,0.542438143586025,81.4657268032803
PRE,16.203023885183,..,28.4050006256959,..,..,58.2235460640257,1.80350053664296,394746861,4.13401916099656,41.7764539359743
