CountryCode,SH.MED.CMHW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.MED.BEDS.ZS,SH.MED.NUMW.P3
AFG,..,11.7771938443184,67.1226501464844,..,0.1755
ALB,..,..,..,..,..
DZA,..,6.37432187795639,258.494293212891,..,2.2228
ASM,..,..,..,..,..
AND,..,10.3205524384975,4040.78662109375,..,..
AGO,..,2.79150027781725,114.45964050293,..,..
ATG,..,4.53353188931942,673.859680175781,..,4.4969
ARB,..,4.85796910085996,345.789410458349,..,..
ARG,..,9.12431478500366,1324.603515625,..,2.5996
ARM,..,10.3627048432827,407.635864257813,..,6.107
ABW,..,..,..,..,..
AUS,..,9.20594781637192,5331.81787109375,..,12.5508
AUT,..,10.3966169059277,4939.87548828125,..,7.0899
AZE,..,6.65182918310165,275.809356689453,..,..
BHS,..,5.75888901948929,1771.53552246094,..,3.2512
BHR,..,4.74810488522053,1127.18627929688,..,..
BGD,..,2.27424874901772,36.2823371887207,..,0.3163
BRB,..,6.77912682294846,1183.83618164063,..,3.0189
BLR,..,5.92578575015068,342.499908447266,..,..
BEL,..,10.338669270277,4507.3564453125,..,18.9734
BLZ,..,5.64282275736332,280.498809814453,..,185.314
BEN,..,3.71858216822147,30.7664470672607,..,..
BMU,..,..,..,..,..
BTN,..,3.18696238100529,96.7993011474609,..,1.6349
BOL,..,6.44316077232361,220.274566650391,..,1.5589
BIH,..,8.93166735768318,460.473327636719,..,5.5647
BWA,..,6.13456815481186,465.929321289063,..,..
BRA,..,9.46747660636902,928.79931640625,..,9.737
VGB,..,..,..,..,..
BRN,..,2.37320773303509,671.411499023438,..,6.0989
BGR,..,8.09560343623161,663.715087890625,..,..
BFA,..,6.91505968570709,44.403491973877,..,0.8829
BDI,..,7.51757025718689,23.5004329681396,..,0.8526
CPV,..,5.16548864543438,167.589614868164,..,1.28
KHM,..,5.91884180903435,82.0758666992188,..,0.7007
CMR,..,4.67066690325737,67.8118133544922,..,..
CAN,..,10.5727694928646,4754.94775390625,..,9.9491
CSS,..,6.14912089214966,582.671927003548,..,..
CYM,..,..,..,..,..
CAF,..,5.82177564501762,24.1500549316406,..,..
CEB,..,6.59897797436108,934.008050740366,..,..
TCD,..,4.48730140924454,29.730863571167,..,0.2322
CHI,..,..,..,..,..
CHL,..,8.9835099875927,1381.98620605469,..,12.1372
CHN,..,5.15119321644306,440.825622558594,..,2.6621
COL,..,7.22628086805344,459.197570800781,..,1.2714
COM,..,7.3843739926815,58.760929107666,..,..
COD,..,3.97872291505337,19.4316463470459,..,0.8974
COG,..,2.93027926236391,49.9837226867676,..,..
CRI,..,7.32879638671875,869.077758789063,..,3.1798
CIV,..,4.45303432643414,69.7492446899414,..,0.5558
HRV,..,6.78913369774818,902.1396484375,..,..
CUB,..,11.7113269865513,987.627014160156,..,7.7286
CUW,..,..,..,..,..
CYP,..,6.68456926941872,1731.69445800781,..,..
CZE,..,7.23133906722069,1475.91516113281,..,8.3955
,,,,,
DNK,..,10.1082794368267,5800.1513671875,..,..
DJI,..,3.31651791930199,70.3308944702148,..,..
DMA,..,5.87688907980919,439.594451904297,..,6.0979
DOM,..,6.13639503717422,433.208587646484,..,1.1697
EAR,..,5.02033291903044,169.716268119907,..,..
EAS,..,6.64097318280393,671.079956165229,..,..
TEA,..,4.91251237560182,344.289399151357,..,..
EAP,..,4.91233089242928,344.273677286342,..,..
ECU,..,8.25742930173874,518.029602050781,..,2.8265
EGY,..,5.28763681650162,105.768455505371,..,1.9271
SLV,..,7.22756013274193,282.491027832031,..,1.8375
GNQ,..,3.10709420591593,301.150054931641,..,0.5024
ERI,..,2.87002343684435,32.9119987487793,..,1.3267
EST,..,6.42935782670975,1300.48168945313,..,6.5272
SWZ,..,6.93037807941437,224.736770629883,..,3.9394
ETH,..,3.50255742669106,25.2619533538818,..,0.8286
EMU,..,10.1351066328336,3761.33529352997,..,..
ECS,..,9.26357236567126,2192.44307690792,..,..
TEC,..,5.40502908635141,462.715268773023,..,..
ECA,..,5.20306913922785,410.185185436188,..,..
EUU,..,9.87256647855253,3261.42622643507,..,..
FRO,..,..,..,..,..
FJI,..,3.50074470043182,188.414321899414,..,..
FIN,..,9.20693874359131,4205.74267578125,..,..
FCS,..,4.66469368434254,78.7146959584749,..,..
FRA,..,11.3128922879696,4379.72705078125,..,11.162
PYF,..,..,..,..,..
GAB,..,2.78074592351913,204.492248535156,..,2.946
GMB,..,3.2820712774992,23.2723255157471,..,..
GEO,..,7.60165899991989,293.053588867188,..,4.8564
DEU,..,11.2468346953392,5033.4521484375,..,13.2352
GHA,..,3.26237045228481,66.7494125366211,..,2.3519
GIB,..,..,..,..,..
GRC,..,8.04139003157616,1516.58776855469,..,3.6331
GRL,..,..,..,..,..
GRD,..,4.7571174800396,497.236053466797,..,3.0568
GUM,..,..,..,..,..
GTM,..,5.81384375691414,259.935028076172,..,0.0686
GIN,..,4.12308685481548,33.7201118469238,..,..
GNB,..,7.23586902022362,52.3594093322754,..,..
GUY,..,4.94550988078117,230.527282714844,..,0.7869
HTI,..,8.03550109267235,62.3532791137695,..,..
HPC,..,5.16961891726117,53.2310967934123,..,..
HIC,..,12.487861039237,5284.11754994531,..,..
HND,..,7.85842537879944,195.935745239258,..,0.7378
HKG,..,..,..,..,..
HUN,..,6.87998980283737,981.423034667969,..,6.8037
IBD,..,5.52421348467593,324.586792263897,..,..
IBT,..,5.4351546503949,258.481440267046,..,..
IDB,..,3.80282988078914,65.1958396929016,..,..
IDX,..,4.45161535417708,49.6357703944185,..,..
IDA,..,4.14606467467515,55.0745622009202,..,..
ISL,..,8.32629129290581,6086.3115234375,..,15.7087
IND,..,3.53495962917805,69.293098449707,..,2.1079
IDN,..,2.98905447125435,114.971786499023,..,2.0532
IRN,..,8.65966379642487,475.479949951172,..,2.6286
IRQ,..,4.16663028299809,210.313705444336,..,1.8126
IRL,..,7.18438327312469,4976.8623046875,..,16.0996
IMN,..,..,..,..,..
ISR,..,7.40746408700943,3144.62622070313,..,5.7002
ITA,..,8.84025916457176,2840.13061523438,..,6.0605
JAM,..,5.98841682076454,307.196044921875,..,1.4674
JPN,..,10.9359331429005,4168.986328125,..,..
JOR,..,8.11925083398819,340.661804199219,..,3.3598
