CountryCode,SHMEDCMHWP3,SHXPDCHEXGDZS,SHXPDCHEXPCCD,SHMEDBEDSZS,SHMEDNUMWP3
AFG,..,..,..,..,..
ALB,..,..,..,..,..
DZA,..,..,..,..,1.5477
ASM,..,..,..,..,..
AND,..,..,..,..,..
AGO,..,..,..,..,0.4075
ATG,..,..,..,..,4.5171
ARB,..,..,..,..,2.15553683295121
ARG,..,..,..,..,..
ARM,..,..,..,..,..
ABW,..,..,..,..,..
AUS,..,..,..,..,..
AUT,..,..,..,..,..
AZE,..,..,..,..,..
BHS,..,..,..,..,4.5669
BHR,..,..,..,..,..
BGD,..,..,..,..,0.4124
BRB,..,..,..,..,3.06
BLR,..,..,..,..,..
BEL,..,..,..,..,19.4614
BLZ,..,..,..,..,2.3414
BEN,..,..,..,..,0.3888
BMU,..,..,..,..,..
BTN,..,..,..,..,1.8518
BOL,..,..,..,..,..
BIH,..,..,..,..,5.7333
BWA,..,..,..,..,5.403
BRA,..,..,..,..,10.119
VGB,..,..,..,..,..
BRN,..,..,..,..,5.8974
BGR,..,..,..,..,..
BFA,..,..,..,..,..
BDI,..,..,..,..,..
CPV,..,..,..,..,1.2983
KHM,..,..,..,..,0.6855
CMR,..,..,..,..,..
CAN,..,..,..,..,9.9438
CSS,..,..,..,..,2.33114477792733
CYM,..,..,..,..,..
CAF,..,..,..,..,..
CEB,..,..,..,..,7.16556002636355
TCD,..,..,..,..,..
CHI,..,..,..,..,..
CHL,..,..,..,..,13.3248
CHN,..,..,..,..,..
COL,..,..,..,..,1.3309
COM,..,..,..,..,..
COD,..,..,..,..,1.1101
COG,..,..,..,..,0.6271
CRI,..,..,..,..,3.4144
CIV,..,..,..,..,0.6048
HRV,..,..,..,..,..
CUB,..,..,..,..,7.5614
CUW,..,..,..,..,..
CYP,..,..,..,..,..
CZE,..,..,..,..,..
,,,,,
DNK,..,..,..,..,..
DJI,..,..,..,..,..
DMA,..,..,..,..,6.4385
DOM,..,..,..,..,1.3802
EAR,..,..,..,..,1.97378709973757
EAS,..,..,..,..,3.42208574043904
TEA,..,..,..,..,2.63424114557604
EAP,..,..,..,..,2.65644416042007
ECU,..,..,..,..,2.5059
EGY,..,..,..,..,1.9262
SLV,..,..,..,..,1.8344
GNQ,..,..,..,..,..
ERI,..,..,..,..,1.4397
EST,..,..,..,..,11.1558
SWZ,..,..,..,..,4.1415
ETH,..,..,..,..,0.7135
EMU,..,..,..,..,9.80563521611356
ECS,..,..,..,..,8.32169418043851
TEC,..,..,..,..,6.86728078783501
ECA,..,..,..,..,6.82619937430457
EUU,..,..,..,..,9.31452488007676
FRO,..,..,..,..,..
FJI,..,..,..,..,3.3752
FIN,..,..,..,..,..
FCS,..,..,..,..,1.02430727090731
FRA,..,..,..,..,11.4707
PYF,..,..,..,..,..
GAB,..,..,..,..,..
GMB,..,..,..,..,..
GEO,..,..,..,..,4.7293
DEU,..,..,..,..,..
GHA,..,..,..,..,4.2001
GIB,..,..,..,..,..
GRC,..,..,..,..,..
GRL,..,..,..,..,..
GRD,..,..,..,..,6.2837
GUM,..,..,..,..,..
GTM,..,..,..,..,0.0737
GIN,..,..,..,..,..
GNB,..,..,..,..,0.6851
GUY,..,..,..,..,1.0398
HTI,..,..,..,..,0.6798
HPC,..,..,..,..,0.832453616914615
HIC,..,..,..,..,10.9064394640709
HND,..,..,..,..,0.7357
HKG,..,..,..,..,..
HUN,..,..,..,..,6.9157
IBD,..,..,..,..,3.00194359582569
IBT,..,..,..,..,2.53690904749929
IDB,..,..,..,..,1.61845773899879
IDX,..,..,..,..,0.912777737516846
IDA,..,..,..,..,1.14449620906456
ISL,..,..,..,..,16.2132
IND,..,..,..,..,1.7271
IDN,..,..,..,..,2.4149
IRN,..,..,..,..,..
IRQ,..,..,..,..,2.0448
IRL,..,..,..,..,..
IMN,..,..,..,..,..
ISR,..,..,..,..,..
ITA,..,..,..,..,5.7401
JAM,..,..,..,..,0.8068
JPN,..,..,..,..,12.1531
JOR,..,..,..,..,2.8212
KAZ,..,..,..,..,..
KEN,..,..,..,..,1.1656
KIR,..,..,..,..,3.8342
PRK,..,..,..,..,..
KOR,..,..,..,..,7.3009
XKX,..,..,..,..,..
KWT,..,..,..,..,7.4145
KGZ,..,..,..,..,..
LAO,..,..,..,..,0.9522
,,,,,
LTE,..,..,..,..,4.00824211236685
LCN,..,..,..,..,5.06103799478191
LAC,..,..,..,..,4.8414944191284
TLA,..,..,..,..,5.01687810063641
LVA,..,..,..,..,..
LDC,..,..,..,..,0.72423436232138
LBN,..,..,..,..,1.6735
LSO,..,..,..,..,3.2567
LBR,..,..,..,..,0.5321
LBY,..,..,..,..,..
LIE,..,..,..,..,..
LTU,..,..,..,..,9.8472
LMY,..,..,..,..,2.47621607119465
LIC,..,..,..,..,0.91258403091828
LMC,..,..,..,..,1.79275311419672
LUX,..,..,..,..,..
MAC,..,..,..,..,..
MDG,..,..,..,..,0.146
MWI,..,..,..,..,0.4386
MYS,..,..,..,..,..
MDV,..,..,..,..,6.4282
MLI,..,..,..,..,0.3585
MLT,..,..,..,..,9.4833
MHL,..,..,..,..,3.339
MRT,..,..,..,..,0.9252
MUS,..,..,..,..,..
MEX,..,..,..,..,2.3961
FSM,..,..,..,..,2.0426
MEA,..,..,..,..,2.54293627373124
TMN,..,..,..,..,2.00868081163002
MNA,..,..,..,..,2.00868081163002
MIC,..,..,..,..,2.65254483662818
MDA,..,..,..,..,..
MCO,..,..,..,..,..
MNG,..,..,..,..,3.8938
MNE,..,..,..,..,5.2294
MAR,..,..,..,..,..
MOZ,..,..,..,..,0.6847
MMR,..,..,..,..,0.9993
NAM,..,..,..,..,1.954
NRU,..,..,..,..,7.6636
NPL,..,..,..,..,3.1084
NLD,..,..,..,..,..
NCL,..,..,..,..,..
NZL,..,..,..,..,12.4482
NIC,..,..,..,..,1.5334
NER,..,..,..,..,..
NGA,..,..,..,..,1.1792
NAC,..,..,..,..,14.0789317328325
MKD,..,..,..,..,..
MNP,..,..,..,..,..
NOR,..,..,..,..,18.2248
INX,..,..,..,..,..
OED,..,..,..,..,9.63747194698031
OMN,..,..,..,..,4.1965
OSS,..,..,..,..,3.77492248538867
PSS,..,..,..,..,2.7975601379037
PAK,..,..,..,..,0.6683
PLW,..,..,..,..,7.2626
PAN,..,..,..,..,3.0741
PNG,..,..,..,..,0.4548
PRY,..,..,..,..,1.6604
PER,..,..,..,..,2.4398
PHL,..,..,..,..,4.9351
POL,..,..,..,..,6.8926
PRT,..,..,..,..,..
PST,..,..,..,..,11.2187920940351
PRE,..,..,..,..,0.851468784494349
PRI,..,..,..,..,..
QAT,..,..,..,..,7.2628
ROU,..,..,..,..,..
RUS,..,..,..,..,..
RWA,..,..,..,..,1.2044
WSM,..,..,..,..,2.4885
SMR,..,..,..,..,..
STP,..,..,..,..,1.9242
SAU,..,..,..,..,5.4763
SEN,..,..,..,..,..
SRB,..,..,..,..,..
SYC,..,..,..,..,..
SLE,..,..,..,..,..
SGP,..,..,..,..,..
SXM,..,..,..,..,..
SVK,..,..,..,..,..
SVN,..,..,..,..,..
SST,..,..,..,..,3.45388854228661
SLB,..,..,..,..,2.1642
SOM,..,..,..,..,..
ZAF,..,..,..,..,..
SAS,..,..,..,..,1.48273797878962
TSA,..,..,..,..,1.48273797878962
SSD,..,..,..,..,..
ESP,..,..,..,..,..
LKA,..,..,..,..,2.1803
KNA,..,..,..,..,..
LCA,..,..,..,..,..
MAF,..,..,..,..,..
VCT,..,..,..,..,7.0145
SSF,..,..,..,..,0.985744586023041
TSS,..,..,..,..,0.985744586023041
SSA,..,..,..,..,0.98201005609108
SDN,..,..,..,..,..
SUR,..,..,..,..,2.7569
SWE,..,..,..,..,..
CHE,..,..,..,..,..
SYR,..,..,..,..,..
TJK,..,..,..,..,..
TZA,..,..,..,..,..
THA,..,..,..,..,2.7593
TLS,..,..,..,..,1.668
TGO,..,..,..,..,0.4102
TON,..,..,..,..,4.157
TTO,..,..,..,..,4.0934
TUN,..,..,..,..,..
TUR,..,..,..,..,..
TKM,..,..,..,..,..
TCA,..,..,..,..,..
TUV,..,..,..,..,4.2609
UGA,..,..,..,..,1.2382
UKR,..,..,..,..,..
ARE,..,..,..,..,5.7271
GBR,..,..,..,..,8.1723
USA,..,..,..,..,..
UMC,..,..,..,..,3.51439009498896
URY,..,..,..,..,..
UZB,..,..,..,..,..
VUT,..,..,..,..,1.4247
VEN,..,..,..,..,0.9416
VNM,..,..,..,..,..
VIR,..,..,..,..,..
PSE,..,..,..,..,..
WLD,..,..,..,..,3.81583566508837
YEM,..,..,..,..,0.7852
ZMB,..,..,..,..,1.3376
ZWE,..,..,..,..,1.9346
