CountryName,CountryCode,ENPOPDNST,ENPOPSLUMURZS,ENURBLCTYURZS,ENURBMCTY,ENURBMCTYTLZS,GBXPDRSDVGDZS,IPJRNARTCSC,NYGDPMKTPKN,NYGDPPCAPKN,NYGNPMKTPKN,NYGNPPCAPKN,SHMEDBEDSZS,SHMEDCMHWP3,SHMEDNUMWP3,SHXPDCHEXGDZS,SHXPDCHEXPCCD,SIDST10TH10,SIDST50MD,SIPOVGINI,SLUEMTOTLNEZS,SPRURTOTLZG,SPRURTOTLZS,SPURBGROW,SPURBTOTL,SPURBTOTLINZS
Afghanistan,AFG,56.937760009803,70.6999969482422,42.3311983623682,4011770,10.792339238057,..,111.72,515529924900,13868.626159752,..,..,..,..,..,..,..,..,..,..,..,2.05646291237639,74.505,3.35038297624495,9477100,25.495
Albania,ALB,104.612262773723,..,27.5063925379807,..,..,..,180.36,1511909900000,527463.912619977,..,..,..,..,..,..,..,..,..,..,12.3037996292114,-2.57812110197857,39.681,1.31716210445698,1728969,60.319
Algeria,DZA,17.7300750711665,..,8.78230990288061,2693542,6.37850392208528,..,5231.44,6123565479992.34,145010.497075142,..,..,..,..,1.5477,..,..,..,..,..,..,-0.0787864813063178,27.371,2.80499567674668,30670086,72.629
American Samoa,ASM,277.325,..,..,..,..,..,..,608000000,10961.8678445867,..,..,..,..,..,..,..,..,..,..,..,-0.140232809406397,12.847,-0.299515834872394,48339,87.153
Andorra,AND,163.842553191489,..,..,..,..,..,3.6,2621620000,34044.3601797263,..,..,..,..,..,..,..,..,..,..,..,0.742442541306233,11.938,-0.092859413109399,67813,88.062
Angola,AGO,24.7130520574316,48.5999984741211,38.515297744971,7774200,25.2329115687424,..,30.12,1554831956300,50465.5620611415,1432976698527.92,46510.4760798842,..,..,0.4075,..,..,39.6,22.8,51.3,..,1.33772918846896,34.486,4.31179134171658,20184707,65.514
Antigua and Barbuda,ATG,218.831818181818,..,..,..,..,..,5.63,3516470000,36521.0934092184,..,..,..,..,4.5171,..,..,..,..,..,..,1.04955132530507,75.401,0.431582289598593,23685,24.599
Arab World,ARB,37.3723656324824,31.0541898347393,29.0157688006458,..,23.5495001253376,..,58771.07,..,..,..,..,..,..,2.15553683295121,..,..,..,..,..,..,1.21623686701436,41.0745811133247,2.40937804106507,247363364,58.9254188866753
Argentina,ARG,16.2585100979651,14.6999998092651,36.6134837504002,19136241,43.0081024392632,..,8811.13,707329642300,15897.0122263645,680370555954.473,15291.1152023788,..,..,..,..,..,29.9,20.3,41.4,9.22049999237061,-0.461530370218559,8.13,1.14760215897919,40877099,91.87
Armenia,ARM,103.680224798033,9.30000019073486,57.9567675616692,1080324,36.5991186323081,0.18913,521.33,5339485715468.42,1808906.1349738,5405739004422.34,1831351.36420323,..,..,..,..,..,29.2,7.8,34.4,18.9659004211426,0.111575894443556,36.851,0.309165596528027,1864017,63.149
Aruba,ABW,588.027777777778,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.245722958311065,56.589,0.725179011284149,45948,43.411
Australia,AUS,3.24787091037205,..,22.3020126013875,15212363,60.8916182277904,..,53610.22,1849880000000,74046.4757034952,1792113000000,71734.1944950039,..,..,..,..,..,..,..,..,5.29829978942871,0.766974495363977,13.988,1.66174925937128,21488110,86.012
Austria,AUT,107.127966860564,..,36.8769086796647,1900547,21.4981334244894,3.17177,12362.28,368856790000,41723.4221829234,367852713972.163,41609.8456156784,..,..,..,..,..,..,..,..,4.84800004959106,0.0014647106450744,41.703,0.835905515118155,5153759,58.297
Azerbaijan,AZE,120.23431716463,..,41.2999163062584,2285729,22.9957913517323,0.18484,761.43,29183700000,2936.05355696826,..,..,..,..,..,..,..,..,..,..,4.90000009536743,0.108814371416153,44.32,1.47340015238086,5534464,55.68
"Bahamas, The",BHS,38.5254745254745,..,..,..,..,..,19.77,10763340000,27910.3308785396,10133259106.4537,26276.4731523019,..,..,4.5669,..,..,..,..,..,10,0.422509966602814,16.975,1.13169108074155,320178,83.025
Bahrain,BHR,2017.27369979138,..,40.2932266708532,..,..,..,321.51,12674430000,8075.77102391364,12012479192.1871,7653.99559472342,..,..,..,..,..,..,..,..,..,3.98289845200758,10.713,5.03433159069524,1401305,89.287
Bangladesh,BGD,1239.57931166936,47.2000007629395,33.1231636140144,24393966,15.1180991744598,..,3135.08,10224374000000,63365.301127651,10673251674776.5,66147.2092456146,..,..,0.4124,..,..,..,..,..,..,-0.163992721602528,63.368,3.1855928338674,59107944,36.632
Barbados,BRB,666.606976744186,..,..,..,..,..,37.97,9251000000,32273.819865267,..,..,..,..,3.06,..,..,..,..,..,..,0.159733507253324,68.853,0.104220957844381,89280,31.147
Belarus,BLR,46.7195037884204,33.2000007629395,26.8955113505554,2004672,21.1385270352219,0.60817,1179.81,79887300000,8423.82120776308,76975106561.9572,8116.74114817297,..,..,..,..,..,21.4,5.2,25.2,4.76000022888184,-2.28638686483029,21.405,0.43270187102989,7453556,78.595
Belgium,BEL,377.379590488771,..,18.3014399890272,3081719,26.9686220087872,2.82119,15688.13,437322600000,38270.8089066526,440108226385.091,38514.5835825307,..,..,19.4614,..,..,..,..,..,5.94820022583008,-1.52577216039863,1.999,0.496003003468172,11198627,98.001
Belize,BLZ,16.7939938623411,5,..,..,..,..,9.11,2813700000,7345.11356902506,2561800015.38902,6687.5331606648,..,..,2.3414,..,..,..,..,..,..,1.69819108240975,54.276,2.19397041149562,175155,45.724
Benin,BEN,101.853919829727,58.7999992370605,17.0698953919223,..,..,..,227.74,7844677000000,683033.888931069,7765042573011.79,676100.141071399,..,..,0.3888,..,..,..,..,..,..,1.70765432051284,52.688,3.89134692985346,5433806,47.312
Bermuda,BMU,1183.70368279874,..,..,..,..,0.25998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0.0735564578953911,63920,100
Bhutan,BTN,19.7775277714448,..,..,..,..,..,52.64,68015792500,90159.5088243013,61967450565.4789,82142.0246787208,..,..,1.8518,..,..,..,..,..,..,-0.0473104256560687,59.105,2.97300923031395,308509,40.895
Bolivia,BOL,10.4801458506416,48.5,23.0158036386824,4692891,41.3356144052457,..,102.8,48188730000,4244.52807865875,47026845848.9161,4142.18776167127,..,..,..,..,..,30.4,19.8,42.2,3.51859998703003,0.299853673569639,30.575,1.92007368157467,7881919,69.425
Bosnia and Herzegovina,BIH,64.92048828125,7.59999990463257,21.3625961100753,..,..,0.1988,703.79,31232141900,9396.15193344984,31138415712.3107,9367.9545237912,..,..,5.7333,..,..,..,..,..,18.4001998901367,-1.53732973233458,51.755,-0.0590360925903149,1603630,48.245
Botswana,BWA,3.97742487604327,..,..,..,..,..,280.57,96533000000,42825.0239782514,88928349162.7887,39451.3657012912,..,..,5.403,..,..,..,..,..,..,-0.214514078971425,30.554,3.27767698014147,1565400,69.446
Brazil,BRA,25.0617162430876,16.2999992370605,11.939294933562,87864411,41.9461931451321,..,60147.96,4082855848500,19491.4252603268,3966830465980.77,18937.5237375715,..,..,10.119,..,..,42.5,23.6,53.9,12.3338003158569,-1.13347499818324,13.431,1.08463813215672,181335507,86.569
British Virgin Islands,VGB,198.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0256772372703575,52.277,1.5661305825538,14222,47.723
Brunei Darussalam,BRN,81.3969639468691,..,..,..,..,0.27764,293.91,18387100000,42864.1697866011,18503840780.9881,43136.3169254809,..,..,5.8974,..,..,..,..,..,8.69950008392334,-0.354715429633848,22.371,1.46107673789112,332999,77.629
Bulgaria,BGR,64.7110998526161,..,24.1475782545822,1272418,18.1126163463623,0.76803,3311.27,98950220000,14085.3663831237,99896172178.5163,14220.0207882914,..,..,..,..,..,..,..,..,5.21140003204346,-2.06940381379375,24.992,-0.269102082353336,5269340,75.008
Burkina Faso,BFA,72.1912828947368,57.0999984741211,43.6546158282195,2531381,12.8161228988025,..,251.99,8405115737400,425542.406572451,8155020266182.42,412880.328854564,..,..,..,..,..,..,..,..,4.69490003585815,2.00025945536628,70.642,4.98415981781227,5798656,29.358
Burundi,BDI,435.178271028037,47.7000007629395,61.726409750236,..,..,0.21028,21.12,1748034284900,156418.358725763,1752035376443.23,156776.386127004,..,..,..,..,..,..,..,..,..,2.7926299189904,86.968,5.70008634067739,1456375,13.032
Cabo Verde,CPV,134.929776674938,..,..,..,..,..,8.69,159239553300,292845.195276653,155452336027.015,285880.415742432,..,..,1.2983,..,..,..,..,..,12.1700000762939,-0.205329524049191,34.268,1.87888979052915,357429,65.732
Cambodia,KHM,92.0564128710628,45.0999984741211,51.370279144629,1952329,12.0144816569412,..,145.74,52849994069616.1,3252347.75654541,48850275398650.2,3006208.16324303,..,..,0.6855,..,..,..,..,..,..,0.959210084067151,76.612,3.25025074021303,3800503,23.388
Cameroon,CMR,53.3439889149796,33.7000007629395,25.7161651648096,7067759,28.0286031575607,..,875.62,16263900000000,644977.281899754,15910903704083.4,630978.512142133,..,..,..,..,..,..,..,..,..,1.25312426461781,43.626,3.67693315164019,14215401,56.374
Canada,CAN,4.07518823864492,0.00999999977648258,20.1611105562755,17022069,45.9338791748504,1.56625,59967.79,2115882957200,57096.8852870647,2088357023214.52,56354.1007725242,..,..,9.9438,..,..,..,..,..,5.83080005645752,1.07034028333426,18.589,1.47290288037893,30169097,81.411
Caribbean small states,CSS,18.1770161788317,33.4781153377733,..,..,..,..,567.95,..,..,..,..,..,..,2.33114477792733,..,..,..,..,..,..,0.283182568843728,48.8006384223868,0.906128378096099,3767742,51.1993615776132
Cayman Islands,CYM,267.391666666667,..,..,..,..,..,..,4304400000,67073.8928538037,..,..,..,..,..,..,..,..,..,..,..,..,0,1.2418234783193,64174,100
Central African Republic,CAF,7.49041221227006,95.4000015258789,44.0858978344213,..,..,..,20.47,740656000000,158721.852092105,..,..,..,..,..,..,..,..,..,..,..,0.866295374301074,58.636,2.45173611360753,1930200,41.364
Central Europe and the Baltics,CEB,92.7891540721796,5.46738955748757,16.9442991316079,..,..,1.20390523766202,89500.84,..,..,..,..,..,..,7.16556002636355,..,..,..,..,..,4.31275481611841,-0.421528150735412,37.666217552165,-0.0596309719102521,63915207,62.333782447835
Chad,TCD,12.2917336404066,86.9000015258789,37.0600571866467,1322679,8.54567953703351,..,15.45,5235523873400,338261.280556846,5167821579558.78,333887.111865205,..,..,..,..,..,..,..,..,1.13489997386932,2.7626781095386,76.941,3.89908834293785,3569015,23.059
Channel Islands,CHI,861.106093786457,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08146072470969,69.086,1.08156592284642,52708,30.914
Chile,CHL,25.1894460666519,8.80000019073486,40.7339645446385,6680371,35.6682894481119,..,7121.74,153570668110240,8199549.15811708,146905052420370,7843654.08915134,..,..,13.3248,..,..,..,..,..,7.23309993743896,0.797709308534243,12.436,1.47555844683509,16400002,87.564
China,CHN,148.348833270666,24.6000003814697,3.10527790612515,388398439,27.8875617671767,2.18568,528263.25,84030897173540.7,60335.3824312973,83721625567237.7,60113.3210078319,..,..,..,..,..,..,..,..,3.79999995231628,-2.42046894260049,40.848,2.49162820140588,823827650,59.152
Colombia,COL,44.7487021180712,27.7999992370605,26.3666682749363,21794184,43.8968000864474,0.23699,7195.02,853600000000000,17192801.7831691,831581672425944,16749319.1899432,..,..,1.3309,..,..,39.7,20.4,50.4,9.11069965362549,-0.195168134279588,19.222,1.92912026786277,40105215,80.778
