CountryName,CountryCode,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY.UR.ZS,EN.URB.MCTY,EN.URB.MCTY.TL.ZS,GB.XPD.RSDV.GD.ZS,IP.JRN.ARTC.SC,NY.GDP.MKTP.KN,NY.GDP.PCAP.KN,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.DST.10TH.10,SI.DST.50MD,SI.POV.GINI,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
Afghanistan,AFG,..,..,41.9915827598149,4114030,10.8145118650418,..,..,530486628400,13944.8519750167,..,..,..,..,..,..,..,..,..,..,..,1.96358574692554,74.246,3.32257193526388,9797273,25.754
Albania,ALB,..,..,27.7309419298429,..,..,..,..,1545384540000,541443.981849848,..,..,..,..,..,..,..,..,..,..,11.4654998779297,-2.74606661163753,38.771,1.07141354924368,1747593,61.229
Algeria,DZA,..,..,8.66174655110584,2729325,6.3394457452426,..,..,6172554003832.28,143370.874545445,..,..,..,..,..,..,..,..,..,..,..,-0.13323063442144,26.811,2.70203471945637,31510100,73.189
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.238848023629824,12.853,-0.281742847595643,48203,87.147
Andorra,AND,..,..,..,..,..,..,..,2670100000,34612.7919939851,..,..,..,..,..,..,..,..,..,..,..,0.82331740120781,12.016,0.0884394910466288,67873,87.984
Angola,AGO,..,..,38.1972624789154,8044735,25.2778018239894,..,..,1541314343900,48430.4809711897,..,..,..,..,..,..,..,..,..,..,..,1.30174248944402,33.823,4.24989375167502,21061025,66.177
Antigua and Barbuda,ATG,..,..,..,..,..,..,..,3680000000,37892.0488477934,..,..,..,..,..,..,..,..,..,..,..,0.982744907203783,75.494,0.484364430171381,23800,24.506
Arab World,ARB,..,..,28.9617821906143,..,23.6186765487752,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.23924570218831,40.7983531267269,2.40249077466459,253306246,59.2016468732731
Argentina,ARG,..,..,36.4233895896017,19280518,42.9040289361208,..,..,692030440800,15399.4275759394,664349047045.31,14783.4465537265,..,..,..,..,..,..,..,..,9.84270000457764,-0.506115918707072,8.009,1.12501972603644,41339571,91.991
Armenia,ARM,..,..,57.9364205004899,1083323,36.6268264422965,..,..,5745286629844.02,1942464.21660524,5836259386470.9,1973221.83338204,..,..,..,..,..,..,..,..,..,0.0113989342119917,36.781,0.312330774687418,1869848,63.219
Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.203475836573019,56.454,0.752364161685261,46295,43.546
