country_code,pop_urban_agglomerations_of_more_than_1_million_percent,pop_urban_agglomerations_of_more_than_1_million,pop_in_the_largest_city,pop_density,pop_living_in_slums_percent,rural_pop_percent,rural_pop_annual_growth_percent,urban_population,urban_population_annual_growth,urban_population_percent
AFG,10.792339238057,4011770,42.3311983623682,56.937760009803,70.6999969482422,74.505,2.05646291237639,9477100,3.35038297624495,25.495
ALB,,,27.5063925379807,104.612262773723,,39.681,-2.57812110197857,1728969,1.31716210445698,60.319
DZA,6.37850392208528,2693542,8.78230990288061,17.7300750711665,,27.371,-0.0787864813063178,30670086,2.80499567674668,72.629
ASM,,,,277.325,,12.847,-0.140232809406397,48339,-0.299515834872394,87.153
AND,,,,163.842553191489,,11.938,0.742442541306233,67813,-0.092859413109399,88.062
AGO,25.2329115687424,7774200,38.515297744971,24.7130520574316,48.5999984741211,34.486,1.33772918846896,20184707,4.31179134171658,65.514
ATG,,,,218.831818181818,,75.401,1.04955132530507,23685,0.431582289598593,24.599
ARB,23.5495001253376,,29.0157688006458,37.3723656324824,31.0541898347393,41.0745811133247,1.21623686701436,247363364,2.40937804106507,58.9254188866753
ARG,43.0081024392632,19136241,36.6134837504002,16.2585100979651,14.6999998092651,8.13,-0.461530370218559,40877099,1.14760215897919,91.87
ARM,36.5991186323081,1080324,57.9567675616692,103.680224798033,9.30000019073486,36.851,0.111575894443556,1864017,0.309165596528027,63.149
ABW,,,,588.027777777778,,56.589,0.245722958311065,45948,0.725179011284149,43.411
AUS,60.8916182277904,15212363,22.3020126013875,3.24787091037205,,13.988,0.766974495363977,21488110,1.66174925937128,86.012
AUT,21.4981334244894,1900547,36.8769086796647,107.127966860564,,41.703,0.0014647106450744,5153759,0.835905515118155,58.297
AZE,22.9957913517323,2285729,41.2999163062584,120.23431716463,,44.32,0.108814371416153,5534464,1.47340015238086,55.68
BHS,,,,38.5254745254745,,16.975,0.422509966602814,320178,1.13169108074155,83.025
BHR,,,40.2932266708532,2017.27369979138,,10.713,3.98289845200758,1401305,5.03433159069524,89.287
BGD,15.1180991744598,24393966,33.1231636140144,1239.57931166936,47.2000007629395,63.368,-0.163992721602528,59107944,3.1855928338674,36.632
BRB,,,,666.606976744186,,68.853,0.159733507253324,89280,0.104220957844381,31.147
BLR,21.1385270352219,2004672,26.8955113505554,46.7195037884204,33.2000007629395,21.405,-2.28638686483029,7453556,0.43270187102989,78.595
BEL,26.9686220087872,3081719,18.3014399890272,377.379590488771,,1.999,-1.52577216039863,11198627,0.496003003468172,98.001
BLZ,,,,16.7939938623411,5,54.276,1.69819108240975,175155,2.19397041149562,45.724
BEN,,,17.0698953919223,101.853919829727,58.7999992370605,52.688,1.70765432051284,5433806,3.89134692985346,47.312
BMU,,,,1183.70368279874,,0,,63920,0.0735564578953911,100
BTN,,,,19.7775277714448,,59.105,-0.0473104256560687,308509,2.97300923031395,40.895
BOL,41.3356144052457,4692891,23.0158036386824,10.4801458506416,48.5,30.575,0.299853673569639,7881919,1.92007368157467,69.425
BIH,,,21.3625961100753,64.92048828125,7.59999990463257,51.755,-1.53732973233458,1603630,-0.0590360925903149,48.245
BWA,,,,3.97742487604327,,30.554,-0.214514078971425,1565400,3.27767698014147,69.446
BRA,41.9461931451321,87864411,11.939294933562,25.0617162430876,16.2999992370605,13.431,-1.13347499818324,181335507,1.08463813215672,86.569
VGB,,,,198.68,,52.277,0.0256772372703575,14222,1.5661305825538,47.723
BRN,,,,81.3969639468691,,22.371,-0.354715429633848,332999,1.46107673789112,77.629
BGR,18.1126163463623,1272418,24.1475782545822,64.7110998526161,,24.992,-2.06940381379375,5269340,-0.269102082353336,75.008
BFA,12.8161228988025,2531381,43.6546158282195,72.1912828947368,57.0999984741211,70.642,2.00025945536628,5798656,4.98415981781227,29.358
BDI,,,61.726409750236,435.178271028037,47.7000007629395,86.968,2.7926299189904,1456375,5.70008634067739,13.032
CPV,,,,134.929776674938,,34.268,-0.205329524049191,357429,1.87888979052915,65.732
KHM,12.0144816569412,1952329,51.370279144629,92.0564128710628,45.0999984741211,76.612,0.959210084067151,3800503,3.25025074021303,23.388
CMR,28.0286031575607,7067759,25.7161651648096,53.3439889149796,33.7000007629395,43.626,1.25312426461781,14215401,3.67693315164019,56.374
CAN,45.9338791748504,17022069,20.1611105562755,4.07518823864492,0.00999999977648258,18.589,1.07034028333426,30169097,1.47290288037893,81.411
CSS,,,,18.1770161788317,33.4781153377733,48.8006384223868,0.283182568843728,3767742,0.906128378096099,51.1993615776132
CYM,,,,267.391666666667,,0,,64174,1.2418234783193,100
CAF,,,44.0858978344213,7.49041221227006,95.4000015258789,58.636,0.866295374301074,1930200,2.45173611360753,41.364
CEB,,,16.9442991316079,92.7891540721796,5.46738955748757,37.666217552165,-0.421528150735412,63915207,-0.0596309719102521,62.333782447835
TCD,8.54567953703351,1322679,37.0600571866467,12.2917336404066,86.9000015258789,76.941,2.7626781095386,3569015,3.89908834293785,23.059
CHI,,,,861.106093786457,,69.086,1.08146072470969,52708,1.08156592284642,30.914
CHL,35.6682894481119,6680371,40.7339645446385,25.1894460666519,8.80000019073486,12.436,0.797709308534243,16400002,1.47555844683509,87.564
CHN,27.8875617671767,388398439,3.10527790612515,148.348833270666,24.6000003814697,40.848,-2.42046894260049,823827650,2.49162820140588,59.152
COL,43.8968000864474,21794184,26.3666682749363,44.7487021180712,27.7999992370605,19.222,-0.195168134279588,40105215,1.92912026786277,80.778
COM,,,,447.244477540227,68.4000015258789,71.035,1.98475846696456,241082,2.8658559669186,28.965
COD,24.0990056500748,20259574,35.2392413310837,37.0825923557045,77.5,55.54,2.18782289971842,37376673,4.53982452244543,44.46
COG,64.2080267899076,3367302,63.5363623359297,15.3568462664715,47.7999992370605,33.084,1.20979341282075,3509318,3.26700441390168,66.916
CRI,27.1579362572736,1357745,34.2298205294467,97.9130630630631,3.90000009536743,20.66,-2.71104464606594,3966556,1.98274148495537,79.34
CIV,19.6287488538239,4920776,38.6552483035222,78.8340534591195,60.0999984741211,49.221,1.63623051396933,12729904,3.44846173720778,50.779
HRV,,,29.4508278691905,73.0493745532523,,43.053,-1.54174402567093,2327904,-0.400587697691305,56.947
CUB,18.843199826991,2136468,24.4599356510304,108.999596231494,6.59999990463257,22.963,-0.270836715255673,8734561,0.068028841812254,77.037
CUW,,,,,,10.855,0.300231172402558,142454,-0.299297540611532,89.145
CYP,,,,128.708333333333,,33.19,0.887598613543349,794548,0.77031383453709,66.81
CZE,12.1501481477579,1291552,16.4654012296731,137.657705257705,,26.208,-0.110997956104683,7844036,0.493103393300873,73.792
,,,,,,,,,,
DNK,22.7978768427979,1320826,25.9438235351889,137.976565849012,0.00100000004749745,12.126,-0.46451835692407,5091100,0.629088602704045,87.874
DJI,,,75.2949442156877,41.3684210526316,64.5,22.223,0.978962185634435,745819,1.72390198898162,77.777
DMA,,,,95.5,,29.517,-0.78210057082814,50483,0.661813153617232,70.483
DOM,29.8494659676405,3172152,36.8175557007141,219.97857586421,14.8000001907349,18.926,-3.04606244798022,8615868,2.06676245726519,81.074
