country_code,income_share_held_by_highest_10_percent,people_living_below_50_percent_of,unemployment
AFG,,,
ALB,,,12.3037996292114
DZA,,,
ASM,,,
AND,,,
AGO,39.6,22.8,
ATG,,,
ARB,,,
ARG,29.9,20.3,9.22049999237061
ARM,29.2,7.8,18.9659004211426
ABW,,,
AUS,,,5.29829978942871
AUT,,,4.84800004959106
AZE,,,4.90000009536743
BHS,,,10
BHR,,,
BGD,,,
BRB,,,
BLR,21.4,5.2,4.76000022888184
BEL,,,5.94820022583008
BLZ,,,
BEN,,,
BMU,,,
BTN,,,
BOL,30.4,19.8,3.51859998703003
BIH,,,18.4001998901367
BWA,,,
BRA,42.5,23.6,12.3338003158569
VGB,,,
BRN,,,8.69950008392334
BGR,,,5.21140003204346
BFA,,,4.69490003585815
BDI,,,
CPV,,,12.1700000762939
KHM,,,
CMR,,,
CAN,,,5.83080005645752
CSS,,,
CYM,,,
CAF,,,
CEB,,,4.31275481611841
TCD,,,1.13489997386932
CHI,,,
CHL,,,7.23309993743896
CHN,,,3.79999995231628
COL,39.7,20.4,9.11069965362549
COM,,,
COD,,,
COG,,,
CRI,36.3,19.2,9.63199996948242
CIV,,,
HRV,,,8.43220043182373
CUB,,,1.70000004768372
CUW,,,13.4300003051758
CYP,,,8.36970043182373
CZE,,,2.24329996109009
,,,
DNK,,,5.13119983673096
DJI,,,
DMA,,,
DOM,35.2,14.2,5.86129999160767
EAR,,,5.91419524843555
EAS,,,3.46920945489316
TEA,,,3.49939145019356
EAP,,,3.49939145019356
ECU,34.4,19.3,3.52959990501404
EGY,,,9.81729984283447
SLV,29.4,15.3,4.00570011138916
GNQ,,,
ERI,,,
EST,,,5.36600017547607
SWZ,,,
ETH,,,
EMU,,,8.17984422759148
ECS,,,7.01656139864152
TEC,,,6.93412071441351
ECA,,,7.37559742018125
EUU,,,7.26597470462843
FRO,,,
FJI,,,
FIN,,,7.36119985580444
FCS,,,
FRA,,,9.01650047302246
PYF,,,
GAB,,,
GMB,,,10.1648998260498
GEO,27.5,14.6,12.6669998168945
DEU,,,3.38350009918213
GHA,,,
GIB,,,
GRC,,,19.2915992736816
GRL,,,
GRD,,,
GUM,,,
GTM,,,
GIN,,,
GNB,,,
GUY,,,14.0190000534058
HTI,,,
HPC,,,
HIC,,,5.13542228407632
HND,39.1,25,5.64830017089844
HKG,,,
HUN,,,3.70849990844727
IBD,,,5.33716645500388
IBT,,,5.30269694997034
IDB,,,
IDX,,,
IDA,,,
ISL,,,2.7039999961853
IND,,,5.32969999313354
IDN,29.3,,4.40299987792969
IRN,,,12.0600004196167
IRQ,,,
IRL,,,5.74049997329712
IMN,,,
ISR,,,3.99799990653992
ITA,,,10.6099996566772
JAM,,,9.10369968414307
JPN,,,2.40000009536743
JOR,,,
KAZ,,,4.84999990463257
KEN,,,
KIR,,,
PRK,,,
KOR,,,3.82399988174438
XKX,,,29.4200000762939
KWT,,,
KGZ,23.6,3.8,4.53709983825684
LAO,,,
,,,
LTE,,,4.71548202852339
LCN,,,8.03648292400964
LAC,,,8.08760958931593
TLA,,,8.14703120651069
LVA,,,7.41230010986328
LDC,,,
LBN,,,
LSO,,,
LBR,,,
LBY,,,
LIE,,,
LTU,,,6.14709997177124
LMY,,,5.31034570484874
LIC,,,
LMC,,,5.06531059975511
LUX,,,5.58540010452271
MAC,,,1.79999995231628
MDG,,,
MWI,,,
MYS,,,3.29999995231628
MDV,,,
MLI,,,1.61989998817444
MLT,,,3.65820002555847
MHL,,,
MRT,,,
MUS,,,6.42649984359741
MEX,36.4,15.3,3.28290009498596
FSM,,,
MEA,,,
TMN,,,
MNA,,,
MIC,,,5.30607037067736
MDA,22,3.8,4.11269998550415
MCO,,,
MNG,25.7,9.9,5.37659978866577
MNE,,,15.1749000549316
MAR,,,
MOZ,,,
MMR,,,0.865899980068207
NAM,,,19.8770008087158
NRU,,,
NPL,,,
NLD,,,3.83049988746643
NCL,,,
NZL,,,4.29930019378662
NIC,,,5.19999980926514
NER,,,
NGA,26.7,13.2,
NAC,,,4.1074707275199
MKD,,,20.7355995178223
MNP,,,
NOR,,,3.79970002174377
INX,,,
OED,,,5.44139177017201
OMN,,,1.79999995231628
OSS,,,
PSS,,,
PAK,,,4.08319997787476
PLW,,,
PAN,37.1,22.3,3.89409995079041
PNG,,,
PRY,35.9,18.6,6.2172999382019
PER,32.1,19.4,3.10689997673035
PHL,,,2.33839988708496
POL,,,3.84549999237061
PRT,,,6.99340009689331
PST,,,5.30727646677905
PRE,,,
PRI,,,9.19999980926514
QAT,,,0.109999999403954
ROU,,,4.18690013885498
RUS,29.9,10.8,4.84590005874634
RWA,,,15.1133003234863
WSM,,,
SMR,,,
STP,,,
SAU,,,6.03999996185303
SEN,,,
SRB,,,12.7327003479004
SYC,,,3.5278000831604
SLE,29.4,7.5,
SGP,,,
SXM,,,
SVK,,,6.53630018234253
SVN,,,5.10780000686646
SST,,,
SLB,,,
SOM,,,
ZAF,,,26.9062004089355
SAS,,,5.15593074461553
TSA,,,5.15593074461553
SSD,,,
ESP,,,15.2546997070313
LKA,,,4.31790018081665
KNA,,,
LCA,,,19.2863006591797
MAF,,,
VCT,,,
SSF,,,
TSS,,,
SSA,,,
SDN,,,
SUR,,,
SWE,,,6.3649001121521
CHE,,,4.7133002281189
SYR,,,
TJK,,,
TZA,,,
THA,28.2,11.3,0.765500009059906
TLS,,,
TGO,,,
TON,,,3.06859993934631
TTO,,,
TUN,,,15.4586000442505
TUR,32.6,15.6,10.8901996612549
TKM,,,
TCA,,,
TUV,,,
UGA,,,
UKR,22,5,8.79940032958984
ARE,,,
GBR,,,3.99589991569519
USA,,,3.89560008049011
UMC,,,5.44102118883192
URY,29.7,16.9,8.33580017089844
UZB,,,9.30000019073486
VUT,,,
VEN,,,
VNM,27.5,14,1.16079998016357
VIR,,,
PSE,,,26.2560997009277
WLD,,,5.27310215036596
YEM,,,
ZMB,,,12.006199836731
ZWE,,,
