country_code,income_share_held_by_highest_10_percent,people_living_below_50_percent_of,unemployment
AFG,,,11.1836004257202
ALB,24.8,12,13.6157999038696
DZA,,,13.5699996948242
ASM,,,
AND,,,
AGO,,,
ATG,,,
ARB,,,
ARG,29.7,19.4,8.34739971160889
ARM,28.4,6.9,17.7045001983643
ABW,,,
AUS,,,5.59110021591187
AUT,23,10.7,5.49900007247925
AZE,,,5
BHS,,,9.80000019073486
BHR,,,
BGD,,,4.37230014801025
BRB,,,
BLR,21.3,5.2,5.65000009536743
BEL,21.9,10,7.08620023727417
BLZ,,,6.59549999237061
BEN,,,
BMU,,,
BTN,27.9,13.8,
BOL,31.7,21.5,3.65459990501404
BIH,,,20.5272006988525
BWA,,,
BRA,42,23.1,12.8224000930786
VGB,,,
BRN,,,9.31599998474121
BGR,31.9,15.3,6.16440010070801
BFA,,,
BDI,,,
CPV,,,12.2399997711182
KHM,,,0.141299992799759
CMR,,,
CAN,25.3,13.2,6.33970022201538
CSS,,,
CYM,,,
CAF,,,
CEB,,,5.29346793291519
TCD,,,
CHI,,,
CHL,36.3,13.6,6.95809984207153
CHN,,,3.90000009536743
COL,39,20.2,8.8725004196167
COM,,,
COD,,,
COG,,,
CRI,37,18.7,8.1422004699707
CIV,,,3.27250003814697
HRV,22.8,13.2,11.2081003189087
CUB,,,1.70000004768372
CUW,,,
CYP,25.5,8.5,11.0515003204346
CZE,21.5,4.7,2.88980007171631
,,,
DNK,24,6.9,5.83309984207153
DJI,32.3,17.1,
DMA,,,
DOM,33.5,14.2,5.83169984817505
EAR,,,
EAS,,,3.55423344053236
TEA,,,3.56774275712513
EAP,,,3.56774275712513
ECU,33.8,19.1,3.83619999885559
EGY,26.9,5.2,11.7372999191284
SLV,29.1,14.5,4.38500022888184
GNQ,,,
ERI,,,
EST,22.5,9.6,5.76039981842041
SWZ,,,
ETH,,,
EMU,,,9.06130382618554
ECS,,,7.49159906569152
TEC,,,7.11480346138869
ECA,,,7.41526040072339
EUU,,,8.13780346365731
FRO,,,
FJI,,,
FIN,22.6,6.9,8.64019966125488
FCS,,,
FRA,25.8,10.1,9.40489959716797
PYF,,,
GAB,27.7,15.7,
GMB,,,
GEO,28.9,14.8,13.9388999938965
DEU,,,3.74550008773804
GHA,,,4.22279977798462
GIB,,,
GRC,25.9,14.9,21.4876003265381
GRL,,,
GRD,,,
GUM,,,
GTM,,,2.46199989318848
GIN,,,
GNB,,,
GUY,,,
HTI,,,
HPC,,,
HIC,,,5.61263196295265
HND,37.7,24.7,5.5278000831604
HKG,,,3.08999991416931
HUN,23.9,11.5,4.15570020675659
IBD,,,5.56661804492218
IBT,,,
IDB,,,
IDX,,,
IDA,,,
ISL,,,2.7418999671936
IND,,,
IDN,29.6,,3.88229990005493
IRN,31.3,15.5,12.1000003814697
IRQ,,,13.0200004577637
IRL,,,6.71239995956421
IMN,,,
ISR,,,4.21500015258789
ITA,26.7,16,11.210599899292
JAM,,,11.6340999603271
JPN,,,2.79999995231628
JOR,,,
KAZ,23,4,4.90000009536743
KEN,,,
KIR,,,
PRK,,,
